"","X","X.1","X.2","X.3","X.4","X.5","X","Strong","Weak","X.7","X.8","X.9","X.10","X.11","X.12","X.3","Strong.1","Weak.1"
"14","AP_T1","0,2916666667","0,125","0,0847457627","0,0769230769","0","AP_T1","0,1428571429","0,131147541",NA,"AP_T1","0,2857142857","0,15","0","0,25","AP_T1","0,2222222222","0,1351351351"
"15","AP_T2","0,25","0,1964285714","0,1186440678","0,0769230769","0","AP_T2","0,1071428571","0,1967213115",NA,"AP_T2","0,1428571429","0,2","0,0526315789","0,25","AP_T2","0,1111111111","0,1891891892"
"16","AP_URS","0,1666666667","0,1428571429","0,0169491525","0,0384615385","0","AP_URS","0,1428571429","0,0491803279",NA,"AP_URS","0","0,05","0","0","AP_URS","0","0,0540540541"
"17","AP_WENG","0,0416666667","0,0178571429","0,0169491525","0","0","AP_WENG","0,0357142857","0,0163934426",NA,"AP_WENG","0","0","0,0526315789","0","AP_WENG","0","0"
"18","CP_BFKV","0,0833333333","0,1428571429","0,1016949153","0,1538461538","0","CP_BFKV","0,0714285714","0,1639344262",NA,"CP_BFKV","0,4285714286","0,4","0,2105263158","0,25","CP_BFKV","0,6666666667","0,1621621622"
"19","CP_BL","0,0416666667","0,0178571429","0,0338983051","0","0,0909090909","CP_BL","0","0,0163934426",NA,"CP_BL","0","0,1","0,1578947368","0","CP_BL","0,1111111111","0,027027027"
"20","CP_BT","0,1666666667","0,1607142857","0,1355932203","0,0769230769","0","CP_BT","0,1071428571","0,1803278689",NA,"CP_BT","0,2857142857","0,35","0,0526315789","0,25","CP_BT","0,4444444444","0,1351351351"
"21","CP_DECK","0,375","0,2142857143","0,186440678","0","0","CP_DECK","0,3571428571","0,1475409836",NA,"CP_DECK","0,1428571429","0,1","0,0526315789","0","CP_DECK","0,1111111111","0,1081081081"
"22","CP_E3D_CB","0,125","0,0892857143","0,0338983051","0,0384615385","0","CP_E3D_CB","0,1785714286","0,0327868852",NA,"CP_E3D_CB","0","0","0,0526315789","0","CP_E3D_CB","0","0"
"23","CP_E3DC_CB","0","0","0","0","0","CP_E3DC_CB","0","0",NA,"CP_E3DC_CB","0","0","0","0","CP_E3DC_CB","0","0"
"24","CP_E3DC_MIN","0,0416666667","0,0714285714","0,0169491525","0","0","CP_E3DC_MIN","0,0357142857","0,0163934426",NA,"CP_E3DC_MIN","0,1428571429","0","0","0","CP_E3DC_MIN","0,1111111111","0"
"25","CP_E3D_MIN","0,0833333333","0,0892857143","0,0508474576","0,0384615385","0","CP_E3D_MIN","0,1428571429","0,0327868852",NA,"CP_E3D_MIN","0,1428571429","0,05","0,0526315789","0,25","CP_E3D_MIN","0,1111111111","0,027027027"
"26","CP_ELOCAL_CB","0,125","0,0892857143","0,0338983051","0,0384615385","0","CP_ELOCAL_CB","0,1428571429","0,0491803279",NA,"CP_ELOCAL_CB","0","0","0,0526315789","0","CP_ELOCAL_CB","0","0,027027027"
"27","CP_ELOCAL_MIN","0,125","0,0714285714","0,0338983051","0","0","CP_ELOCAL_MIN","0,1428571429","0,0327868852",NA,"CP_ELOCAL_MIN","0","0,05","0,0526315789","0,25","CP_ELOCAL_MIN","0","0,0540540541"
"28","CP_EPAIR_CB","0,0833333333","0,0357142857","0","0","0","CP_EPAIR_CB","0,1071428571","0",NA,"CP_EPAIR_CB","0","0","0","0","CP_EPAIR_CB","0","0"
"29","CP_EPAIR_MIN","0,0416666667","0,0357142857","0,0508474576","0","0","CP_EPAIR_MIN","0,0357142857","0,0163934426",NA,"CP_EPAIR_MIN","0","0","0","0","CP_EPAIR_MIN","0","0"
"30","CP_ES3DC_CB","0,0416666667","0,0535714286","0","0,0384615385","0","CP_ES3DC_CB","0,0357142857","0",NA,"CP_ES3DC_CB","0","0","0,0526315789","0","CP_ES3DC_CB","0","0"
"31","CP_ES3DC_MIN","0,1666666667","0,1071428571","0,0847457627","0,0384615385","0","CP_ES3DC_MIN","0,1785714286","0,0655737705",NA,"CP_ES3DC_MIN","0,1428571429","0,15","0,1052631579","0","CP_ES3DC_MIN","0,4444444444","0,0540540541"
"32","CP_GKS","0,0416666667","0,0178571429","0","0","0","CP_GKS","0,0357142857","0",NA,"CP_GKS","0","0","0","0","CP_GKS","0","0"
"33","CP_HLPL","0,3333333333","0,1785714286","0,1186440678","0,1153846154","0,0909090909","CP_HLPL","0,25","0,1639344262",NA,"CP_HLPL","0,1428571429","0,4","0,2105263158","0","CP_HLPL","0,5555555556","0,1081081081"
"34","CP_MJ1","0","0,0178571429","0","0","0","CP_MJ1","0","0",NA,"CP_MJ1","0","0","0","0","CP_MJ1","0","0"
"35","CP_MJ2","0,0416666667","0,0178571429","0","0","0","CP_MJ2","0,0357142857","0",NA,"CP_MJ2","0","0,05","0,1052631579","0","CP_MJ2","0","0,027027027"
"36","CP_MJ2h","0,25","0,1428571429","0,1186440678","0,0384615385","0,0909090909","CP_MJ2h","0,2142857143","0,0655737705",NA,"CP_MJ2h","0","0,1","0,1052631579","0","CP_MJ2h","0,1111111111","0,0540540541"
"37","CP_MJ3h","0,1666666667","0,1607142857","0,1355932203","0,1538461538","0,0909090909","CP_MJ3h","0,25","0,1803278689",NA,"CP_MJ3h","0,1428571429","0,3","0,1578947368","0,25","CP_MJ3h","0,3333333333","0,1891891892"
"38","CP_MJPL","0,0833333333","0,0714285714","0,0508474576","0","0,0909090909","CP_MJPL","0,0357142857","0,0327868852",NA,"CP_MJPL","0,1428571429","0,05","0","0,25","CP_MJPL","0,1111111111","0,027027027"
"39","CP_MS","0,0416666667","0,0178571429","0","0","0","CP_MS","0,0357142857","0",NA,"CP_MS","0","0,05","0","0","CP_MS","0","0,027027027"
"40","CP_MSBM","0,0833333333","0,0535714286","0,0338983051","0","0","CP_MSBM","0,1071428571","0,0163934426",NA,"CP_MSBM","0","0","0","0","CP_MSBM","0","0,027027027"
"41","CP_Qa","0,125","0,0892857143","0,0677966102","0,1538461538","0","CP_Qa","0,0714285714","0,131147541",NA,"CP_Qa","0,1428571429","0","0,0526315789","0","CP_Qa","0,1111111111","0,1081081081"
"42","CP_Qm","0,125","0,125","0,0847457627","0,1153846154","0","CP_Qm","0,1428571429","0,1147540984",NA,"CP_Qm","0,2857142857","0,1","0,1578947368","0","CP_Qm","0,3333333333","0,1081081081"
"43","CP_Qp","0,2916666667","0,1428571429","0,1186440678","0,0384615385","0,0909090909","CP_Qp","0,25","0,0983606557",NA,"CP_Qp","0,1428571429","0,15","0,1578947368","0","CP_Qp","0,4444444444","0,1081081081"
"44","CP_RMFCA","0,25","0,1964285714","0,186440678","0,0769230769","0,0909090909","CP_RMFCA","0,25","0,1639344262",NA,"CP_RMFCA","0,1428571429","0,15","0,0526315789","0,25","CP_RMFCA","0,3333333333","0,1351351351"
"45","CP_RMFCEN1","0,1666666667","0,2142857143","0,1186440678","0","0","CP_RMFCEN1","0,2142857143","0,1147540984",NA,"CP_RMFCEN1","0,1428571429","0,15","0,0526315789","0,25","CP_RMFCEN1","0,2222222222","0,0810810811"
"46","CP_RMFCEN2","0,0833333333","0,2142857143","0,0677966102","0,0384615385","0","CP_RMFCEN2","0,1785714286","0,0983606557",NA,"CP_RMFCEN2","0,1428571429","0,05","0,1052631579","0,25","CP_RMFCEN2","0,1111111111","0,0810810811"
"47","CP_RO","0,0416666667","0,0357142857","0,1016949153","0","0","CP_RO","0","0,0819672131",NA,"CP_RO","0","0","0","0","CP_RO","0","0,0540540541"
"48","CP_SJKG","0,0833333333","0,0892857143","0,0677966102","0,0384615385","0","CP_SJKG","0,0714285714","0,0983606557",NA,"CP_SJKG","0,2857142857","0,15","0,1578947368","0,25","CP_SJKG","0,5555555556","0,0810810811"
"49","CP_SKOa","0,0833333333","0,0535714286","0,0847457627","0,0769230769","0","CP_SKOa","0,0714285714","0,0983606557",NA,"CP_SKOa","0,2857142857","0,3","0,1578947368","0,25","CP_SKOa","0,4444444444","0,0810810811"
"50","CP_SKOb","0,125","0,125","0,0677966102","0,1538461538","0","CP_SKOb","0,1071428571","0,1475409836",NA,"CP_SKOb","0,2857142857","0,15","0,1578947368","0","CP_SKOb","0,5555555556","0,1081081081"
"51","CP_SKOIP","0,0833333333","0,1428571429","0,1694915254","0,1538461538","0","CP_SKOIP","0,1785714286","0,1475409836",NA,"CP_SKOIP","0,1428571429","0,2","0,1052631579","0","CP_SKOIP","0,2222222222","0,1351351351"
"52","CP_TB","0,3333333333","0,2142857143","0,1016949153","0,1153846154","0,1818181818","CP_TB","0,2857142857","0,1967213115",NA,"CP_TB","0,4285714286","0,4","0,1052631579","0","CP_TB","0,6666666667","0,1621621622"
"53","CP_TD","0,125","0,1964285714","0,1016949153","0,0769230769","0,0909090909","CP_TD","0,1785714286","0,1475409836",NA,"CP_TD","0,1428571429","0,25","0,2105263158","0","CP_TD","0,3333333333","0,1351351351"
"54","CP_TEl","0,125","0,1071428571","0,1016949153","0,0769230769","0","CP_TEl","0,1428571429","0,1475409836",NA,"CP_TEl","0","0,25","0,1578947368","0,25","CP_TEl","0,3333333333","0,0810810811"
"55","CP_TEs","0","0,0714285714","0,0847457627","0,0384615385","0","CP_TEs","0","0,0491803279",NA,"CP_TEs","0,1428571429","0,1","0,1052631579","0","CP_TEs","0,4444444444","0,0540540541"
"56","CP_TS","0,2083333333","0,0892857143","0,0677966102","0,0384615385","0","CP_TS","0,2142857143","0,0491803279",NA,"CP_TS","0","0,1","0,1052631579","0,25","CP_TS","0,1111111111","0,0540540541"
"57","CP_TSC","0,3333333333","0,2321428571","0,1355932203","0,1153846154","0","CP_TSC","0,2142857143","0,262295082",NA,"CP_TSC","0","0,2","0,1578947368","0","CP_TSC","0,3333333333","0,2162162162"
"58","CP_VD","0,0833333333","0,0357142857","0,0169491525","0","0","CP_VD","0,0357142857","0,0163934426",NA,"CP_VD","0","0,05","0,0526315789","0,25","CP_VD","0","0,0540540541"
