"","X","X.1","X.2","X.3","X.4","X.5","X","Strong","Weak","X.7","X.8","X.9","X.10","X.11","X.12","X.3","Strong.1","Weak.1"
"22","CP_E3D_CB","0,2916666667","0,2142857143","0,186440678","0,0384615385","0","CP_E3D_CB","0,1428571429","0,131147541",NA,"CP_E3D_CB","0,1428571429","0,15","0,0526315789","0","CP_E3D_CB","0,1111111111","0,1081081081"
"23","CP_E3DC_CB","0,125","0,1071428571","0,0508474576","0,0384615385","0","CP_E3DC_CB","0,0357142857","0,0655737705",NA,"CP_E3DC_CB","0","0,2","0","0","CP_E3DC_CB","0","0,1621621622"
"24","CP_E3DC_MIN","0,3333333333","0,2142857143","0,1525423729","0,0384615385","0,0909090909","CP_E3DC_MIN","0,1785714286","0,1475409836",NA,"CP_E3DC_MIN","0","0,15","0,0526315789","0,25","CP_E3DC_MIN","0,1111111111","0,0540540541"
"25","CP_E3D_MIN","0,4166666667","0,2321428571","0,2542372881","0,0384615385","0","CP_E3D_MIN","0,3214285714","0,1803278689",NA,"CP_E3D_MIN","0,1428571429","0,25","0,1578947368","0,25","CP_E3D_MIN","0,1111111111","0,1621621622"
"26","CP_ELOCAL_CB","0,25","0,2321428571","0,2033898305","0,0384615385","0","CP_ELOCAL_CB","0,1785714286","0,131147541",NA,"CP_ELOCAL_CB","0,1428571429","0,15","0","0","CP_ELOCAL_CB","0,1111111111","0,1081081081"
"27","CP_ELOCAL_MIN","0,3333333333","0,2857142857","0,2542372881","0,0384615385","0","CP_ELOCAL_MIN","0,2857142857","0,1803278689",NA,"CP_ELOCAL_MIN","0,1428571429","0,25","0,1052631579","0","CP_ELOCAL_MIN","0,1111111111","0,1621621622"
"28","CP_EPAIR_CB","0,3333333333","0,2321428571","0,1186440678","0","0","CP_EPAIR_CB","0,25","0,131147541",NA,"CP_EPAIR_CB","0,1428571429","0,35","0","0","CP_EPAIR_CB","0,1111111111","0,1081081081"
"29","CP_EPAIR_MIN","0,375","0,2678571429","0,2203389831","0,0769230769","0","CP_EPAIR_MIN","0,3571428571","0,1639344262",NA,"CP_EPAIR_MIN","0,1428571429","0,45","0,0526315789","0","CP_EPAIR_MIN","0,2222222222","0,1351351351"
"30","CP_ES3DC_CB","0,1666666667","0,1964285714","0,1355932203","0,0769230769","0","CP_ES3DC_CB","0,1428571429","0,1967213115",NA,"CP_ES3DC_CB","0,1428571429","0,2","0,0526315789","0","CP_ES3DC_CB","0,1111111111","0,1621621622"
"31","CP_ES3DC_MIN","0,25","0,1607142857","0,1355932203","0,0384615385","0","CP_ES3DC_MIN","0,1785714286","0,1147540984",NA,"CP_ES3DC_MIN","0,1428571429","0,25","0,0526315789","0,25","CP_ES3DC_MIN","0,3333333333","0,1081081081"
"32","CP_GKS","0,1666666667","0,125","0,1694915254","0","0","CP_GKS","0,0714285714","0,0983606557",NA,"CP_GKS","0,4285714286","0,2","0,1052631579","0","CP_GKS","0,3333333333","0,1081081081"
"33","CP_HLPL","0,4166666667","0,3392857143","0,2372881356","0,1153846154","0,0909090909","CP_HLPL","0,3928571429","0,1803278689",NA,"CP_HLPL","0,2857142857","0,45","0,2105263158","0,25","CP_HLPL","0,3333333333","0,2162162162"
"34","CP_MJ1","0","0,1071428571","0,1186440678","0,0769230769","0","CP_MJ1","0,0357142857","0,0983606557",NA,"CP_MJ1","0,4285714286","0,15","0,0526315789","0","CP_MJ1","0,4444444444","0,1351351351"
"35","CP_MJ2","0,2083333333","0,125","0,1525423729","0","0","CP_MJ2","0,2142857143","0,0819672131",NA,"CP_MJ2","0,2857142857","0,2","0,0526315789","0,25","CP_MJ2","0,3333333333","0,1081081081"
"36","CP_MJ2h","0,4583333333","0,2857142857","0,2372881356","0,0769230769","0","CP_MJ2h","0,3928571429","0,1803278689",NA,"CP_MJ2h","0,1428571429","0,2","0,1578947368","0,25","CP_MJ2h","0,1111111111","0,1351351351"
"37","CP_MJ3h","0,4166666667","0,2142857143","0,1525423729","0,1153846154","0,0909090909","CP_MJ3h","0,3214285714","0,1803278689",NA,"CP_MJ3h","0","0,25","0","0","CP_MJ3h","0,1111111111","0,1621621622"
"38","CP_MJPL","0,2916666667","0,25","0,2203389831","0,0384615385","0","CP_MJPL","0,2857142857","0,131147541",NA,"CP_MJPL","0,2857142857","0,1","0,1052631579","0,25","CP_MJPL","0,2222222222","0,1081081081"
"39","CP_MS","0,1666666667","0,1964285714","0,1525423729","0","0","CP_MS","0,1428571429","0,1147540984",NA,"CP_MS","0,4285714286","0,25","0,0526315789","0,25","CP_MS","0,2222222222","0,1891891892"
"40","CP_MSBM","0,25","0,1428571429","0,1525423729","0,0769230769","0","CP_MSBM","0,3928571429","0,0491803279",NA,"CP_MSBM","0,1428571429","0","0,0526315789","0","CP_MSBM","0,1111111111","0,0540540541"
"41","CP_Qa","0,0416666667","0,0892857143","0,0847457627","0,1923076923","0","CP_Qa","0,1071428571","0,0819672131",NA,"CP_Qa","0","0,2","0,0526315789","0","CP_Qa","0","0,027027027"
"42","CP_Qm","0,125","0,125","0,1186440678","0,2692307692","0","CP_Qm","0,2142857143","0,131147541",NA,"CP_Qm","0,2857142857","0,15","0,1052631579","0,25","CP_Qm","0,2222222222","0,1621621622"
"43","CP_Qp","0,375","0,3214285714","0,2372881356","0,1538461538","0,0909090909","CP_Qp","0,3571428571","0,1639344262",NA,"CP_Qp","0,2857142857","0,2","0,0526315789","0,25","CP_Qp","0,1111111111","0,1891891892"
"44","CP_RMFCA","0,2083333333","0,3035714286","0,2203389831","0,0384615385","0","CP_RMFCA","0,2142857143","0,1967213115",NA,"CP_RMFCA","0,4285714286","0,1","0,1052631579","0","CP_RMFCA","0,3333333333","0,1891891892"
"45","CP_RMFCEN1","0,3333333333","0,3214285714","0,2542372881","0,0384615385","0","CP_RMFCEN1","0,4642857143","0,131147541",NA,"CP_RMFCEN1","0,2857142857","0,2","0,1052631579","0,25","CP_RMFCEN1","0,2222222222","0,0540540541"
"46","CP_RMFCEN2","0,25","0,3571428571","0,2372881356","0,0384615385","0","CP_RMFCEN2","0,3571428571","0,1639344262",NA,"CP_RMFCEN2","0,2857142857","0,15","0,1578947368","0,25","CP_RMFCEN2","0,3333333333","0,0540540541"
"47","CP_RO","0,1666666667","0,125","0,0847457627","0,0384615385","0","CP_RO","0,0357142857","0,1639344262",NA,"CP_RO","0,2857142857","0,05","0,1052631579","0","CP_RO","0,1111111111","0,1351351351"
