"","X","X.1","X.2","X.3","X.4","X.5","X","Strong","Weak","X.7","X.8","X.9","X.10","X.11","X.12","X.3","Strong.1","Weak.1"
"23","CP_E3DC_CB","0,125","0,0357142857","0,1016949153","0,0769230769","0","CP_E3DC_CB","0,1071428571","0,0655737705",NA,"CP_E3DC_CB","0,1428571429","0,05","0","0","CP_E3DC_CB","0,1111111111","0,0810810811"
"24","CP_E3DC_MIN","0,3333333333","0,1785714286","0,1525423729","0,1153846154","0","CP_E3DC_MIN","0,2857142857","0,1475409836",NA,"CP_E3DC_MIN","0","0,1","0,2105263158","0","CP_E3DC_MIN","0,2222222222","0,0810810811"
"25","CP_E3D_MIN","0,25","0,25","0,1694915254","0,1153846154","0","CP_E3D_MIN","0,4642857143","0,0983606557",NA,"CP_E3D_MIN","0","0,25","0,1578947368","0,25","CP_E3D_MIN","0,1111111111","0,1351351351"
"26","CP_ELOCAL_CB","0,2083333333","0,2142857143","0,1186440678","0,1153846154","0","CP_ELOCAL_CB","0,25","0,0819672131",NA,"CP_ELOCAL_CB","0,1428571429","0,1","0,0526315789","0","CP_ELOCAL_CB","0,2222222222","0,1081081081"
"27","CP_ELOCAL_MIN","0,2083333333","0,2321428571","0,2033898305","0,1153846154","0","CP_ELOCAL_MIN","0,3214285714","0,1147540984",NA,"CP_ELOCAL_MIN","0","0,15","0,0526315789","0","CP_ELOCAL_MIN","0","0,1351351351"
"28","CP_EPAIR_CB","0,1666666667","0,1428571429","0,1186440678","0,1538461538","0","CP_EPAIR_CB","0,25","0,0655737705",NA,"CP_EPAIR_CB","0,1428571429","0,15","0,0526315789","0","CP_EPAIR_CB","0,2222222222","0,027027027"
"29","CP_EPAIR_MIN","0,3333333333","0,2142857143","0,1694915254","0,0769230769","0","CP_EPAIR_MIN","0,3571428571","0,1639344262",NA,"CP_EPAIR_MIN","0","0,2","0,1052631579","0","CP_EPAIR_MIN","0,1111111111","0,0810810811"
"30","CP_ES3DC_CB","0,125","0,125","0,0677966102","0,1923076923","0","CP_ES3DC_CB","0,2142857143","0,0819672131",NA,"CP_ES3DC_CB","0","0,05","0","0","CP_ES3DC_CB","0","0,0540540541"
"31","CP_ES3DC_MIN","0,1666666667","0,1428571429","0,1525423729","0,1153846154","0","CP_ES3DC_MIN","0,2142857143","0,1147540984",NA,"CP_ES3DC_MIN","0,1428571429","0,1","0,1578947368","0","CP_ES3DC_MIN","0,2222222222","0,0810810811"
"32","CP_GKS","0,125","0,1071428571","0,1525423729","0","0","CP_GKS","0,1071428571","0,0819672131",NA,"CP_GKS","0,5714285714","0,05","0,0526315789","0","CP_GKS","0,4444444444","0,0810810811"
"33","CP_HLPL","0,25","0,2321428571","0,2881355932","0,2692307692","0","CP_HLPL","0,3928571429","0,1639344262",NA,"CP_HLPL","0,2857142857","0,2","0,2105263158","0,25","CP_HLPL","0,3333333333","0,1891891892"
"34","CP_MJ1","0","0,0535714286","0,0508474576","0,0384615385","0","CP_MJ1","0","0,0327868852",NA,"CP_MJ1","0,2857142857","0,1","0","0","CP_MJ1","0,2222222222","0,0810810811"
"35","CP_MJ2","0,0833333333","0,0892857143","0,1016949153","0,0384615385","0","CP_MJ2","0,0357142857","0,0163934426",NA,"CP_MJ2","0,4285714286","0,1","0,1052631579","0","CP_MJ2","0,3333333333","0,0540540541"
"36","CP_MJ2h","0,2916666667","0,2857142857","0,2033898305","0,1538461538","0","CP_MJ2h","0,3571428571","0,1639344262",NA,"CP_MJ2h","0,1428571429","0,1","0,1052631579","0,25","CP_MJ2h","0,1111111111","0,1621621622"
"37","CP_MJ3h","0,2916666667","0,1964285714","0,186440678","0,2307692308","0,0909090909","CP_MJ3h","0,3214285714","0,1803278689",NA,"CP_MJ3h","0","0,25","0,1052631579","0","CP_MJ3h","0,1111111111","0,0810810811"
"38","CP_MJPL","0,25","0,2678571429","0,2881355932","0,1538461538","0","CP_MJPL","0,3214285714","0,1639344262",NA,"CP_MJPL","0,1428571429","0,15","0,1052631579","0,25","CP_MJPL","0,1111111111","0,2162162162"
"39","CP_MS","0,125","0,1785714286","0,1694915254","0,0769230769","0","CP_MS","0,0714285714","0,0983606557",NA,"CP_MS","0,4285714286","0,15","0,0526315789","0","CP_MS","0,4444444444","0,1081081081"
"40","CP_MSBM","0,2083333333","0,0892857143","0,1016949153","0","0","CP_MSBM","0,2142857143","0,0819672131",NA,"CP_MSBM","0","0,05","0,1578947368","0","CP_MSBM","0,1111111111","0,1081081081"
"41","CP_Qa","0,0833333333","0,0714285714","0,0508474576","0,1538461538","0","CP_Qa","0,1071428571","0,0491803279",NA,"CP_Qa","0","0,05","0,0526315789","0","CP_Qa","0,1111111111","0"
"42","CP_Qm","0,125","0,0892857143","0,0847457627","0,1923076923","0","CP_Qm","0,1785714286","0,0655737705",NA,"CP_Qm","0","0,2","0,1052631579","0","CP_Qm","0,1111111111","0,1081081081"
"43","CP_Qp","0,2916666667","0,2321428571","0,2711864407","0,2692307692","0","CP_Qp","0,3928571429","0,131147541",NA,"CP_Qp","0,1428571429","0,15","0,1578947368","0,25","CP_Qp","0,1111111111","0,1351351351"
"44","CP_RMFCA","0,25","0,2142857143","0,2542372881","0,1153846154","0","CP_RMFCA","0,2857142857","0,1639344262",NA,"CP_RMFCA","0","0,2","0,1578947368","0","CP_RMFCA","0,1111111111","0,1621621622"
"45","CP_RMFCEN1","0,25","0,25","0,2033898305","0,1923076923","0","CP_RMFCEN1","0,3928571429","0,0983606557",NA,"CP_RMFCEN1","0,1428571429","0,25","0,0526315789","0","CP_RMFCEN1","0,2222222222","0,1081081081"
"46","CP_RMFCEN2","0,25","0,2678571429","0,1694915254","0,1538461538","0","CP_RMFCEN2","0,3214285714","0,0655737705",NA,"CP_RMFCEN2","0,1428571429","0,2","0,1052631579","0","CP_RMFCEN2","0,2222222222","0,0540540541"
"47","CP_RO","0,0416666667","0,0892857143","0,1355932203","0,0769230769","0","CP_RO","0,0714285714","0,0655737705",NA,"CP_RO","0,1428571429","0,1","0","0","CP_RO","0","0,0810810811"
"48","CP_SJKG","0","0,0892857143","0,1186440678","0,1153846154","0,0909090909","CP_SJKG","0,0714285714","0,0819672131",NA,"CP_SJKG","0,1428571429","0,2","0","0","CP_SJKG","0,2222222222","0,027027027"
"49","CP_SKOa","0,0833333333","0,125","0,1525423729","0,1923076923","0,0909090909","CP_SKOa","0,1785714286","0,0983606557",NA,"CP_SKOa","0,1428571429","0,2","0,0526315789","0,25","CP_SKOa","0,2222222222","0,0810810811"
"50","CP_SKOb","0,2083333333","0,1071428571","0,186440678","0,1538461538","0","CP_SKOb","0,25","0,1475409836",NA,"CP_SKOb","0,1428571429","0,1","0,0526315789","0","CP_SKOb","0,1111111111","0,1081081081"
"51","CP_SKOIP","0,125","0,1785714286","0,186440678","0,2307692308","0","CP_SKOIP","0,2857142857","0,1639344262",NA,"CP_SKOIP","0","0,15","0,0526315789","0","CP_SKOIP","0","0,0810810811"
"52","CP_TB","0,2916666667","0,2142857143","0,2033898305","0,1923076923","0,0909090909","CP_TB","0,4285714286","0,1639344262",NA,"CP_TB","0,2857142857","0,3","0,1578947368","0","CP_TB","0,5555555556","0,0810810811"
"53","CP_TD","0,25","0,2857142857","0,2203389831","0,1538461538","0,0909090909","CP_TD","0,2857142857","0,1639344262",NA,"CP_TD","0","0,15","0,2105263158","0","CP_TD","0,3333333333","0,0810810811"
"54","CP_TEl","0,2916666667","0,1964285714","0,186440678","0,1923076923","0,0909090909","CP_TEl","0,3214285714","0,131147541",NA,"CP_TEl","0,2857142857","0,05","0,0526315789","0","CP_TEl","0,1111111111","0,1081081081"
"55","CP_TEs","0,0416666667","0,0535714286","0,1525423729","0,1538461538","0","CP_TEs","0,0714285714","0,0819672131",NA,"CP_TEs","0","0,15","0","0","CP_TEs","0","0,1081081081"
"56","CP_TS","0,2916666667","0,2142857143","0,186440678","0,1923076923","0","CP_TS","0,3928571429","0,0983606557",NA,"CP_TS","0,1428571429","0,1","0,1052631579","0,25","CP_TS","0,1111111111","0,1351351351"
"57","CP_TSC","0,4583333333","0,3035714286","0,2881355932","0,2307692308","0","CP_TSC","0,3928571429","0,2950819672",NA,"CP_TSC","0,2857142857","0,2","0,1578947368","0","CP_TSC","0,4444444444","0,2702702703"
"58","CP_VD","0,25","0,2321428571","0,1186440678","0,0384615385","0","CP_VD","0,1428571429","0,1147540984",NA,"CP_VD","0,5714285714","0,15","0,0526315789","0","CP_VD","0,5555555556","0,1081081081"
"59","CP_Z3DC_CB","0","0","0,0338983051","0,0769230769","0","CP_Z3DC_CB","0","0,0163934426",NA,"CP_Z3DC_CB","0","0","0","0","CP_Z3DC_CB","0","0"
"60","CP_Z3DC_MIN","0,0833333333","0,1428571429","0,0847457627","0,1153846154","0","CP_Z3DC_MIN","0,1071428571","0,1475409836",NA,"CP_Z3DC_MIN","0","0","0","0","CP_Z3DC_MIN","0","0,0540540541"
"61","CP_ZLOCAL_CB","0,0416666667","0,0357142857","0,0847457627","0,0384615385","0","CP_ZLOCAL_CB","0","0,0327868852",NA,"CP_ZLOCAL_CB","0,1428571429","0","0","0","CP_ZLOCAL_CB","0","0,0540540541"
"62","CP_ZLOCAL_MIN","0","0,0535714286","0,0677966102","0,0769230769","0","CP_ZLOCAL_MIN","0","0,0163934426",NA,"CP_ZLOCAL_MIN","0,2857142857","0","0","0","CP_ZLOCAL_MIN","0","0,0540540541"
"63","CP_ZPAIR_CB","0","0,0535714286","0,0338983051","0,0384615385","0","CP_ZPAIR_CB","0,0357142857","0,0327868852",NA,"CP_ZPAIR_CB","0","0,05","0,0526315789","0","CP_ZPAIR_CB","0","0,0810810811"
"64","CP_ZPAIR_MIN","0","0,0714285714","0,0677966102","0,0769230769","0","CP_ZPAIR_MIN","0,0714285714","0,0491803279",NA,"CP_ZPAIR_MIN","0,1428571429","0,05","0,0526315789","0","CP_ZPAIR_MIN","0,1111111111","0,027027027"
"65","CP_ZS3DC_CB","0,0833333333","0,0892857143","0,0677966102","0,1538461538","0","CP_ZS3DC_CB","0,0714285714","0,0819672131",NA,"CP_ZS3DC_CB","0","0,05","0","0","CP_ZS3DC_CB","0","0,0810810811"
"66","CP_ZS3DC_MIN","0,0833333333","0,1607142857","0,1525423729","0,1153846154","0","CP_ZS3DC_MIN","0,1785714286","0,131147541",NA,"CP_ZS3DC_MIN","0,1428571429","0,1","0,1052631579","0","CP_ZS3DC_MIN","0,2222222222","0,1081081081"
"67","DESOLV","0,125","0,125","0,0338983051","0,1153846154","0,0909090909","DESOLV","0,1071428571","0,0819672131",NA,"DESOLV","0","0,1","0","0","DESOLV","0","0,0810810811"
"68","ELE","0,2083333333","0,2857142857","0,2033898305","0,1153846154","0","ELE","0,25","0,2131147541",NA,"ELE","0,5714285714","0,15","0,2105263158","0,25","ELE","0,6666666667","0,1891891892"
"69","ODA","0,2083333333","0,1964285714","0,1355932203","0,1538461538","0","ODA","0,2857142857","0,1475409836",NA,"ODA","0","0,05","0,0526315789","0","ODA","0","0,1081081081"
"70","PROPNSTS","0,1666666667","0,0892857143","0,1694915254","0,1923076923","0","PROPNSTS","0,1428571429","0,131147541",NA,"PROPNSTS","0","0,15","0","0","PROPNSTS","0,1111111111","0,0540540541"
"71","PYDOCK_TOT","0,4166666667","0,3214285714","0,1525423729","0,1153846154","0","PYDOCK_TOT","0,3571428571","0,2950819672",NA,"PYDOCK_TOT","0,2857142857","0,25","0,2631578947","0","PYDOCK_TOT","0,2222222222","0,1891891892"
"72","SIPPER","0,25","0,1964285714","0,1694915254","0,1923076923","0","SIPPER","0,3214285714","0,1639344262",NA,"SIPPER","0,1428571429","0,25","0","0","SIPPER","0,2222222222","0,1351351351"
"73","VDW","0,2916666667","0,1428571429","0,0847457627","0,0384615385","0","VDW","0,1785714286","0,0655737705",NA,"VDW","0,2857142857","0,1","0","0","VDW","0,1111111111","0,0810810811"
"74","ZDOCK","0,4583333333","0,3214285714","0,2542372881","0,1153846154","0","ZDOCK","0,4285714286","0,2131147541",NA,"ZDOCK","0,2857142857","0,4","0,1578947368","0","ZDOCK","0,3333333333","0,2162162162"
