/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_BM5_METHOD_MIX 

pdb.list.flexibility.1 samples = 24

AP_calRW 0.0 0.208333333333 0.625 
AP_calRWp 0.125 0.166666666667 0.625 
AP_DARS 0.166666666667 0.166666666667 0.208333333333 
AP_DCOMPLEX 0.125 0.375 0.625 
AP_dDFIRE 0.125 0.333333333333 0.458333333333 
AP_DFIRE2 0.0833333333333 0.166666666667 0.5 
AP_DOPE 0.0833333333333 0.166666666667 0.416666666667 
AP_DOPE_HR 0.125 0.25 0.458333333333 
AP_GOAP_ALL 0.0 0.0 0.125 
AP_GOAP_DF 0.0833333333333 0.25 0.416666666667 
AP_GOAP_G 0.0 0.0 0.0416666666667 
AP_MPS 0.0833333333333 0.0833333333333 0.291666666667 
AP_PISA 0.166666666667 0.541666666667 0.666666666667 
AP_T1 0.208333333333 0.458333333333 0.708333333333 
AP_T2 0.208333333333 0.5 0.541666666667 
AP_URS 0.0833333333333 0.25 0.416666666667 
AP_WENG 0.0416666666667 0.0416666666667 0.166666666667 
CP_BFKV 0.0833333333333 0.166666666667 0.333333333333 
CP_BL 0.0416666666667 0.208333333333 0.458333333333 
CP_BT 0.0 0.25 0.541666666667 
CP_DECK 0.291666666667 0.333333333333 0.583333333333 
CP_E3D_CB 0.0416666666667 0.208333333333 0.5 
CP_E3DC_CB 0.0 0.0833333333333 0.166666666667 
CP_E3DC_MIN 0.0833333333333 0.333333333333 0.5 
CP_E3D_MIN 0.0416666666667 0.25 0.625 
CP_ELOCAL_CB 0.0416666666667 0.208333333333 0.416666666667 
CP_ELOCAL_MIN 0.0416666666667 0.208333333333 0.666666666667 
CP_EPAIR_CB 0.0833333333333 0.166666666667 0.25 
CP_EPAIR_MIN 0.0416666666667 0.291666666667 0.666666666667 
CP_ES3DC_CB 0.0 0.125 0.25 
CP_ES3DC_MIN 0.0 0.166666666667 0.375 
CP_GKS 0.0 0.0416666666667 0.291666666667 
CP_HLPL 0.125 0.25 0.541666666667 
CP_MJ1 0.0 0.0 0.25 
CP_MJ2 0.0 0.0416666666667 0.25 
CP_MJ2h 0.0416666666667 0.291666666667 0.625 
CP_MJ3h 0.125 0.291666666667 0.583333333333 
CP_MJPL 0.0416666666667 0.25 0.625 
CP_MS 0.0416666666667 0.166666666667 0.375 
CP_MSBM 0.125 0.208333333333 0.375 
CP_Qa 0.0 0.0833333333333 0.208333333333 
CP_Qm 0.0833333333333 0.125 0.25 
CP_Qp 0.0833333333333 0.25 0.583333333333 
CP_RMFCA 0.0416666666667 0.25 0.5 
CP_RMFCEN1 0.0833333333333 0.333333333333 0.666666666667 
CP_RMFCEN2 0.125 0.25 0.666666666667 
CP_RO 0.0 0.0416666666667 0.333333333333 
CP_SJKG 0.0 0.0 0.125 
CP_SKOa 0.0 0.0833333333333 0.166666666667 
CP_SKOb 0.0 0.166666666667 0.333333333333 
CP_SKOIP 0.0416666666667 0.166666666667 0.458333333333 
CP_TB 0.125 0.291666666667 0.708333333333 
CP_TD 0.0416666666667 0.208333333333 0.625 
CP_TEl 0.125 0.291666666667 0.541666666667 
CP_TEs 0.0 0.0 0.291666666667 
CP_TS 0.0833333333333 0.333333333333 0.666666666667 
CP_TSC 0.0833333333333 0.458333333333 0.75 
CP_VD 0.0833333333333 0.208333333333 0.458333333333 
CP_Z3DC_CB 0.0 0.0 0.0416666666667 
CP_Z3DC_MIN 0.0 0.0833333333333 0.166666666667 
CP_ZLOCAL_CB 0.0 0.0416666666667 0.0416666666667 
CP_ZLOCAL_MIN 0.0 0.0 0.0416666666667 
CP_ZPAIR_CB 0.0 0.0 0.0 
CP_ZPAIR_MIN 0.0 0.0 0.0416666666667 
CP_ZS3DC_CB 0.0416666666667 0.0416666666667 0.125 
CP_ZS3DC_MIN 0.0416666666667 0.166666666667 0.375 
DESOLV 0.125 0.166666666667 0.291666666667 
ELE 0.0416666666667 0.208333333333 0.583333333333 
ODA 0.125 0.208333333333 0.333333333333 
PROPNSTS 0.0 0.0 0.0 
PYDOCK_TOT 0.0833333333333 0.291666666667 0.541666666667 
SIPPER 0.0 0.0 0.0 
VDW 0.125 0.375 0.625 

