Combo Top1 Top10 Top100
combo_AP_dDFIRE_AP_DCOMPLEX 0.0727272727273 0.218181818182 0.345454545455 
combo_CP_BFKV_AP_DCOMPLEX 0.0545454545455 0.236363636364 0.472727272727 
combo_CP_BFKV_AP_dDFIRE 0.0909090909091 0.309090909091 0.472727272727 
combo_CP_SJKG_AP_DCOMPLEX 0.0727272727273 0.254545454545 0.509090909091 
combo_CP_SJKG_AP_dDFIRE 0.0545454545455 0.327272727273 0.490909090909 
combo_CP_SJKG_CP_BFKV 0.0545454545455 0.218181818182 0.363636363636 
combo_CP_SJKG_pydock 0.0909090909091 0.290909090909 0.472727272727 
combo_CP_SKOa_AP_DCOMPLEX 0.0909090909091 0.218181818182 0.436363636364 
combo_CP_SKOa_AP_dDFIRE 0.0545454545455 0.309090909091 0.490909090909 
combo_CP_SKOa_CP_BFKV 0.0545454545455 0.254545454545 0.327272727273 
combo_CP_SKOa_CP_SJKG 0.0545454545455 0.163636363636 0.327272727273 
combo_CP_SKOa_pydock 0.0909090909091 0.309090909091 0.454545454545 
combo_pydock_AP_DCOMPLEX 0.0727272727273 0.290909090909 0.472727272727 
combo_pydock_AP_dDFIRE 0.145454545455 0.254545454545 0.454545454545 
combo_pydock_CP_BFKV 0.145454545455 0.272727272727 0.509090909091 

