/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_BM5_METHOD_MIX 

pdb.list.flexibility.3 samples = 59

AP_calRW 0.0508474576271 0.152542372881 0.64406779661 
AP_calRWp 0.0338983050847 0.28813559322 0.576271186441 
AP_DARS 0.0169491525424 0.186440677966 0.338983050847 
AP_DCOMPLEX 0.135593220339 0.220338983051 0.491525423729 
AP_dDFIRE 0.118644067797 0.203389830508 0.406779661017 
AP_DFIRE2 0.0338983050847 0.186440677966 0.389830508475 
AP_DOPE 0.0169491525424 0.101694915254 0.305084745763 
AP_DOPE_HR 0.0677966101695 0.152542372881 0.389830508475 
AP_GOAP_ALL 0.0338983050847 0.0508474576271 0.203389830508 
AP_GOAP_DF 0.0338983050847 0.135593220339 0.406779661017 
AP_GOAP_G 0.0169491525424 0.0338983050847 0.0677966101695 
AP_MPS 0.0 0.0677966101695 0.220338983051 
AP_PISA 0.118644067797 0.338983050847 0.677966101695 
AP_T1 0.0677966101695 0.338983050847 0.559322033898 
AP_T2 0.0847457627119 0.322033898305 0.542372881356 
AP_URS 0.0847457627119 0.135593220339 0.457627118644 
AP_WENG 0.0338983050847 0.0338983050847 0.135593220339 
CP_BFKV 0.0847457627119 0.203389830508 0.423728813559 
CP_BL 0.0338983050847 0.186440677966 0.474576271186 
CP_BT 0.101694915254 0.28813559322 0.474576271186 
CP_DECK 0.0847457627119 0.237288135593 0.423728813559 
CP_E3D_CB 0.0508474576271 0.101694915254 0.389830508475 
CP_E3DC_CB 0.0169491525424 0.0847457627119 0.101694915254 
CP_E3DC_MIN 0.0169491525424 0.152542372881 0.406779661017 
CP_E3D_MIN 0.0338983050847 0.152542372881 0.423728813559 
CP_ELOCAL_CB 0.0169491525424 0.0847457627119 0.372881355932 
CP_ELOCAL_MIN 0.0677966101695 0.169491525424 0.457627118644 
CP_EPAIR_CB 0.0169491525424 0.0847457627119 0.237288135593 
CP_EPAIR_MIN 0.0338983050847 0.118644067797 0.372881355932 
CP_ES3DC_CB 0.0 0.0338983050847 0.152542372881 
CP_ES3DC_MIN 0.0338983050847 0.118644067797 0.440677966102 
CP_GKS 0.0169491525424 0.0847457627119 0.389830508475 
CP_HLPL 0.101694915254 0.305084745763 0.559322033898 
CP_MJ1 0.0169491525424 0.0847457627119 0.28813559322 
CP_MJ2 0.0169491525424 0.0847457627119 0.389830508475 
CP_MJ2h 0.0677966101695 0.152542372881 0.542372881356 
CP_MJ3h 0.0508474576271 0.169491525424 0.338983050847 
CP_MJPL 0.0677966101695 0.237288135593 0.491525423729 
CP_MS 0.0169491525424 0.0847457627119 0.423728813559 
CP_MSBM 0.0338983050847 0.0847457627119 0.28813559322 
CP_Qa 0.0169491525424 0.0508474576271 0.237288135593 
CP_Qm 0.0169491525424 0.0847457627119 0.305084745763 
CP_Qp 0.0677966101695 0.237288135593 0.576271186441 
CP_RMFCA 0.0677966101695 0.220338983051 0.508474576271 
CP_RMFCEN1 0.0508474576271 0.186440677966 0.525423728814 
CP_RMFCEN2 0.0677966101695 0.203389830508 0.525423728814 
CP_RO 0.0169491525424 0.118644067797 0.305084745763 
CP_SJKG 0.0169491525424 0.135593220339 0.305084745763 
CP_SKOa 0.0338983050847 0.152542372881 0.338983050847 
CP_SKOb 0.0508474576271 0.169491525424 0.457627118644 
CP_SKOIP 0.0677966101695 0.135593220339 0.440677966102 
CP_TB 0.0677966101695 0.220338983051 0.440677966102 
CP_TD 0.0847457627119 0.237288135593 0.474576271186 
CP_TEl 0.0847457627119 0.186440677966 0.423728813559 
CP_TEs 0.0338983050847 0.135593220339 0.440677966102 
CP_TS 0.0338983050847 0.186440677966 0.559322033898 
CP_TSC 0.101694915254 0.28813559322 0.593220338983 
CP_VD 0.0508474576271 0.101694915254 0.338983050847 
CP_Z3DC_CB 0.0 0.0 0.0677966101695 
CP_Z3DC_MIN 0.0 0.0508474576271 0.220338983051 
CP_ZLOCAL_CB 0.0 0.0 0.0847457627119 
CP_ZLOCAL_MIN 0.0 0.0169491525424 0.118644067797 
CP_ZPAIR_CB 0.0 0.0 0.0847457627119 
CP_ZPAIR_MIN 0.0169491525424 0.0508474576271 0.169491525424 
CP_ZS3DC_CB 0.0 0.0169491525424 0.135593220339 
CP_ZS3DC_MIN 0.0338983050847 0.169491525424 0.389830508475 
DESOLV 0.0 0.0338983050847 0.169491525424 
ELE 0.0677966101695 0.186440677966 0.372881355932 
ODA 0.0338983050847 0.135593220339 0.237288135593 
PROPNSTS 0.0 0.0169491525424 0.0677966101695 
PYDOCK_TOT 0.135593220339 0.152542372881 0.338983050847 
SIPPER 0.0 0.0 0.0508474576271 
VDW 0.0338983050847 0.169491525424 0.559322033898 

