Combo Top1 Top10 Top100
combo_AP_calRWp_AP_PISA 0.0363636363636 0.0727272727273 0.109090909091 
combo_AP_calRWp_AP_T1 0.0363636363636 0.0727272727273 0.109090909091 
combo_AP_calRWp_AP_T2 0.0363636363636 0.0545454545455 0.109090909091 
combo_AP_calRWp_CP_TB 0.0181818181818 0.0909090909091 0.109090909091 
combo_AP_calRWp_zdock3 0.236363636364 0.418181818182 0.545454545455 
combo_AP_PISA_AP_T1 0.0545454545455 0.163636363636 0.418181818182 
combo_AP_PISA_AP_T2 0.0545454545455 0.163636363636 0.4 
combo_AP_PISA_CP_TB 0.0727272727273 0.218181818182 0.381818181818 
combo_AP_T1_CP_TB 0.0363636363636 0.163636363636 0.4 
combo_AP_T2_AP_T1 0.0545454545455 0.2 0.418181818182 
combo_AP_T2_CP_TB 0.109090909091 0.163636363636 0.345454545455 
combo_CP_BFKV_AP_calRWp 0.0181818181818 0.0545454545455 0.109090909091 
combo_CP_BFKV_AP_PISA 0.0727272727273 0.2 0.381818181818 
combo_CP_BFKV_AP_T1 0.0727272727273 0.181818181818 0.381818181818 
combo_CP_BFKV_AP_T2 0.109090909091 0.218181818182 0.381818181818 
combo_CP_BFKV_CP_TB 0.0363636363636 0.254545454545 0.345454545455 
combo_CP_BFKV_PYDOCK_TOT 0.109090909091 0.254545454545 0.363636363636 
combo_CP_BFKV_zdock3 0.0363636363636 0.163636363636 0.272727272727 
combo_PYDOCK_TOT_AP_calRWp 0.0363636363636 0.0909090909091 0.109090909091 
combo_PYDOCK_TOT_AP_PISA 0.0181818181818 0.236363636364 0.345454545455 
combo_PYDOCK_TOT_AP_T1 0.109090909091 0.218181818182 0.418181818182 
combo_PYDOCK_TOT_AP_T2 0.0909090909091 0.254545454545 0.436363636364 
combo_PYDOCK_TOT_CP_TB 0.0909090909091 0.181818181818 0.381818181818 
combo_PYDOCK_TOT_zdock3 0.0545454545455 0.2 0.290909090909 
combo_zdock3_AP_PISA 0.0363636363636 0.145454545455 0.345454545455 
combo_zdock3_AP_T1 0.0181818181818 0.145454545455 0.327272727273 
combo_zdock3_AP_T2 0.0363636363636 0.109090909091 0.290909090909 
combo_zdock3_CP_TB 0.0 0.109090909091 0.272727272727 

