/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_BM5_METHOD_MIX 

pdb.list.strongbinders.BM5 samples = 9

AP_calRW 0.0 0.111111111111 0.777777777778 
AP_calRWp 0.111111111111 0.444444444444 0.888888888889 
AP_DARS 0.0 0.333333333333 0.444444444444 
AP_DCOMPLEX 0.222222222222 0.333333333333 0.777777777778 
AP_dDFIRE 0.111111111111 0.111111111111 0.333333333333 
AP_DFIRE2 0.0 0.222222222222 0.333333333333 
AP_DOPE 0.111111111111 0.111111111111 0.444444444444 
AP_DOPE_HR 0.111111111111 0.222222222222 0.444444444444 
AP_GOAP_ALL 0.0 0.0 0.222222222222 
AP_GOAP_DF 0.0 0.222222222222 0.333333333333 
AP_GOAP_G 0.0 0.0 0.111111111111 
AP_MPS 0.222222222222 0.444444444444 0.666666666667 
AP_PISA 0.0 0.333333333333 0.666666666667 
AP_T1 0.222222222222 0.555555555556 0.777777777778 
AP_T2 0.111111111111 0.333333333333 0.666666666667 
AP_URS 0.111111111111 0.111111111111 0.444444444444 
AP_WENG 0.0 0.0 0.222222222222 
CP_BFKV 0.333333333333 0.333333333333 0.666666666667 
CP_BL 0.0 0.222222222222 0.666666666667 
CP_BT 0.333333333333 0.555555555556 0.666666666667 
CP_DECK 0.0 0.0 0.111111111111 
CP_E3D_CB 0.111111111111 0.222222222222 0.333333333333 
CP_E3DC_CB 0.0 0.0 0.222222222222 
CP_E3DC_MIN 0.0 0.222222222222 0.222222222222 
CP_E3D_MIN 0.0 0.111111111111 0.444444444444 
CP_ELOCAL_CB 0.0 0.222222222222 0.222222222222 
CP_ELOCAL_MIN 0.0 0.0 0.444444444444 
CP_EPAIR_CB 0.0 0.222222222222 0.222222222222 
CP_EPAIR_MIN 0.111111111111 0.111111111111 0.444444444444 
CP_ES3DC_CB 0.0 0.0 0.0 
CP_ES3DC_MIN 0.222222222222 0.333333333333 0.555555555556 
CP_GKS 0.111111111111 0.333333333333 0.555555555556 
CP_HLPL 0.222222222222 0.333333333333 0.888888888889 
CP_MJ1 0.111111111111 0.444444444444 0.555555555556 
CP_MJ2 0.222222222222 0.222222222222 0.555555555556 
CP_MJ2h 0.0 0.111111111111 0.333333333333 
CP_MJ3h 0.111111111111 0.111111111111 0.666666666667 
CP_MJPL 0.111111111111 0.111111111111 0.444444444444 
CP_MS 0.111111111111 0.444444444444 0.555555555556 
CP_MSBM 0.0 0.111111111111 0.111111111111 
CP_Qa 0.0 0.0 0.333333333333 
CP_Qm 0.0 0.111111111111 0.333333333333 
CP_Qp 0.0 0.111111111111 0.777777777778 
CP_RMFCA 0.0 0.111111111111 0.333333333333 
CP_RMFCEN1 0.111111111111 0.222222222222 0.666666666667 
CP_RMFCEN2 0.0 0.222222222222 0.666666666667 
CP_RO 0.0 0.0 0.222222222222 
CP_SJKG 0.0 0.333333333333 0.555555555556 
CP_SKOa 0.111111111111 0.333333333333 0.555555555556 
CP_SKOb 0.0 0.111111111111 0.444444444444 
CP_SKOIP 0.0 0.0 0.333333333333 
CP_TB 0.222222222222 0.555555555556 0.777777777778 
CP_TD 0.111111111111 0.333333333333 0.444444444444 
CP_TEl 0.0 0.111111111111 0.222222222222 
CP_TEs 0.0 0.0 0.333333333333 
CP_TS 0.0 0.111111111111 0.333333333333 
CP_TSC 0.111111111111 0.444444444444 0.555555555556 
CP_VD 0.111111111111 0.555555555556 0.555555555556 
CP_Z3DC_CB 0.0 0.0 0.111111111111 
CP_Z3DC_MIN 0.0 0.0 0.0 
CP_ZLOCAL_CB 0.0 0.0 0.111111111111 
CP_ZLOCAL_MIN 0.0 0.111111111111 0.222222222222 
CP_ZPAIR_CB 0.0 0.0 0.0 
CP_ZPAIR_MIN 0.0 0.0 0.444444444444 
CP_ZS3DC_CB 0.0 0.0 0.111111111111 
CP_ZS3DC_MIN 0.0 0.333333333333 0.666666666667 
DESOLV 0.0 0.0 0.111111111111 
ELE 0.222222222222 0.666666666667 0.777777777778 
ODA 0.0 0.0 0.111111111111 
PROPNSTS 0.0 0.0 0.0 
PYDOCK_TOT 0.111111111111 0.222222222222 0.444444444444 
SIPPER 0.0 0.0 0.0 
VDW 0.0 0.111111111111 0.555555555556 

