/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_BM5_METHOD_MIX 

pdb.list.flexibility.3.BM5 samples = 19

AP_calRW 0.0 0.105263157895 0.421052631579 
AP_calRWp 0.0 0.0526315789474 0.421052631579 
AP_DARS 0.0 0.157894736842 0.315789473684 
AP_DCOMPLEX 0.0526315789474 0.105263157895 0.473684210526 
AP_dDFIRE 0.0 0.0526315789474 0.315789473684 
AP_DFIRE2 0.0526315789474 0.0526315789474 0.105263157895 
AP_DOPE 0.0 0.0 0.105263157895 
AP_DOPE_HR 0.0 0.0526315789474 0.263157894737 
AP_GOAP_ALL 0.0526315789474 0.105263157895 0.105263157895 
AP_GOAP_DF 0.0526315789474 0.0526315789474 0.210526315789 
AP_GOAP_G 0.0 0.0 0.105263157895 
AP_MPS 0.0526315789474 0.105263157895 0.210526315789 
AP_PISA 0.0526315789474 0.105263157895 0.421052631579 
AP_T1 0.0526315789474 0.105263157895 0.368421052632 
AP_T2 0.0 0.0526315789474 0.315789473684 
AP_URS 0.0 0.0 0.210526315789 
AP_WENG 0.0 0.0 0.0526315789474 
CP_BFKV 0.105263157895 0.157894736842 0.263157894737 
CP_BL 0.105263157895 0.157894736842 0.315789473684 
CP_BT 0.0526315789474 0.157894736842 0.263157894737 
CP_DECK 0.0526315789474 0.105263157895 0.315789473684 
CP_E3D_CB 0.0 0.0526315789474 0.157894736842 
CP_E3DC_CB 0.0 0.0 0.0526315789474 
CP_E3DC_MIN 0.0526315789474 0.210526315789 0.263157894737 
CP_E3D_MIN 0.0526315789474 0.157894736842 0.315789473684 
CP_ELOCAL_CB 0.0 0.0526315789474 0.105263157895 
CP_ELOCAL_MIN 0.0 0.0526315789474 0.315789473684 
CP_EPAIR_CB 0.0 0.0526315789474 0.157894736842 
CP_EPAIR_MIN 0.105263157895 0.105263157895 0.315789473684 
CP_ES3DC_CB 0.0 0.0 0.105263157895 
CP_ES3DC_MIN 0.105263157895 0.157894736842 0.210526315789 
CP_GKS 0.0526315789474 0.0526315789474 0.105263157895 
CP_HLPL 0.157894736842 0.210526315789 0.315789473684 
CP_MJ1 0.0 0.0526315789474 0.210526315789 
CP_MJ2 0.0526315789474 0.157894736842 0.157894736842 
CP_MJ2h 0.0526315789474 0.105263157895 0.263157894737 
CP_MJ3h 0.0526315789474 0.105263157895 0.315789473684 
CP_MJPL 0.0 0.105263157895 0.263157894737 
CP_MS 0.0 0.0526315789474 0.105263157895 
CP_MSBM 0.0526315789474 0.105263157895 0.157894736842 
CP_Qa 0.0 0.0 0.315789473684 
CP_Qm 0.0 0.105263157895 0.157894736842 
CP_Qp 0.0 0.157894736842 0.263157894737 
CP_RMFCA 0.0 0.157894736842 0.210526315789 
CP_RMFCEN1 0.0526315789474 0.0526315789474 0.263157894737 
CP_RMFCEN2 0.0 0.105263157895 0.210526315789 
CP_RO 0.0 0.0 0.157894736842 
CP_SJKG 0.0 0.0 0.157894736842 
CP_SKOa 0.0 0.0526315789474 0.157894736842 
CP_SKOb 0.0 0.0526315789474 0.210526315789 
CP_SKOIP 0.0 0.0526315789474 0.105263157895 
CP_TB 0.0526315789474 0.210526315789 0.315789473684 
CP_TD 0.0526315789474 0.210526315789 0.315789473684 
CP_TEl 0.0 0.0526315789474 0.263157894737 
CP_TEs 0.0 0.0 0.0526315789474 
CP_TS 0.0 0.105263157895 0.263157894737 
CP_TSC 0.105263157895 0.157894736842 0.157894736842 
CP_VD 0.0526315789474 0.105263157895 0.157894736842 
CP_Z3DC_CB 0.0 0.0 0.0 
CP_Z3DC_MIN 0.0 0.0 0.157894736842 
CP_ZLOCAL_CB 0.0 0.0 0.0 
CP_ZLOCAL_MIN 0.0 0.0 0.0526315789474 
CP_ZPAIR_CB 0.0 0.0526315789474 0.0526315789474 
CP_ZPAIR_MIN 0.0 0.0526315789474 0.157894736842 
CP_ZS3DC_CB 0.0 0.0 0.0526315789474 
CP_ZS3DC_MIN 0.0 0.157894736842 0.210526315789 
DESOLV 0.0 0.0 0.0526315789474 
ELE 0.0526315789474 0.157894736842 0.263157894737 
ODA 0.0 0.0 0.210526315789 
PROPNSTS 0.0 0.0 0.105263157895 
PYDOCK_TOT 0.157894736842 0.263157894737 0.473684210526 
SIPPER 0.0 0.0526315789474 0.157894736842 
VDW 0.0 0.0526315789474 0.315789473684 

