/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_BM5_METHOD_MIX 

pdb.list.wmbinders.bm5 samples = 37

AP_calRW 0.0540540540541 0.0810810810811 0.351351351351 
AP_calRWp 0.0540540540541 0.189189189189 0.405405405405 
AP_DARS 0.027027027027 0.108108108108 0.27027027027 
AP_DCOMPLEX 0.135135135135 0.189189189189 0.351351351351 
AP_dDFIRE 0.0 0.0810810810811 0.243243243243 
AP_DFIRE2 0.0 0.0810810810811 0.27027027027 
AP_DOPE 0.0 0.0 0.189189189189 
AP_DOPE_HR 0.027027027027 0.135135135135 0.27027027027 
AP_GOAP_ALL 0.027027027027 0.0540540540541 0.216216216216 
AP_GOAP_DF 0.027027027027 0.135135135135 0.27027027027 
AP_GOAP_G 0.0 0.027027027027 0.108108108108 
AP_MPS 0.027027027027 0.0810810810811 0.135135135135 
AP_PISA 0.027027027027 0.189189189189 0.405405405405 
AP_T1 0.0810810810811 0.162162162162 0.378378378378 
AP_T2 0.0540540540541 0.189189189189 0.405405405405 
AP_URS 0.0 0.135135135135 0.378378378378 
AP_WENG 0.027027027027 0.027027027027 0.0540540540541 
CP_BFKV 0.027027027027 0.027027027027 0.351351351351 
CP_BL 0.0540540540541 0.216216216216 0.405405405405 
CP_BT 0.0810810810811 0.216216216216 0.432432432432 
CP_DECK 0.027027027027 0.0810810810811 0.27027027027 
CP_E3D_CB 0.027027027027 0.0540540540541 0.27027027027 
CP_E3DC_CB 0.027027027027 0.0810810810811 0.189189189189 
CP_E3DC_MIN 0.0 0.0810810810811 0.189189189189 
CP_E3D_MIN 0.027027027027 0.108108108108 0.297297297297 
CP_ELOCAL_CB 0.0 0.108108108108 0.243243243243 
CP_ELOCAL_MIN 0.0540540540541 0.135135135135 0.324324324324 
CP_EPAIR_CB 0.0 0.027027027027 0.162162162162 
CP_EPAIR_MIN 0.0 0.0810810810811 0.27027027027 
CP_ES3DC_CB 0.0 0.027027027027 0.189189189189 
CP_ES3DC_MIN 0.0 0.108108108108 0.243243243243 
CP_GKS 0.0 0.0540540540541 0.243243243243 
CP_HLPL 0.0810810810811 0.189189189189 0.324324324324 
CP_MJ1 0.0540540540541 0.135135135135 0.216216216216 
CP_MJ2 0.027027027027 0.027027027027 0.297297297297 
CP_MJ2h 0.0810810810811 0.162162162162 0.243243243243 
CP_MJ3h 0.027027027027 0.0810810810811 0.324324324324 
CP_MJPL 0.0810810810811 0.189189189189 0.297297297297 
CP_MS 0.027027027027 0.0810810810811 0.324324324324 
CP_MSBM 0.0810810810811 0.108108108108 0.243243243243 
CP_Qa 0.0 0.0 0.162162162162 
CP_Qm 0.027027027027 0.108108108108 0.27027027027 
CP_Qp 0.0540540540541 0.135135135135 0.378378378378 
CP_RMFCA 0.027027027027 0.162162162162 0.324324324324 
CP_RMFCEN1 0.0 0.108108108108 0.378378378378 
CP_RMFCEN2 0.027027027027 0.0810810810811 0.378378378378 
CP_RO 0.027027027027 0.108108108108 0.243243243243 
CP_SJKG 0.027027027027 0.027027027027 0.27027027027 
CP_SKOa 0.0 0.0810810810811 0.243243243243 
CP_SKOb 0.027027027027 0.108108108108 0.297297297297 
CP_SKOIP 0.0 0.0810810810811 0.216216216216 
CP_TB 0.0 0.162162162162 0.405405405405 
CP_TD 0.0 0.0810810810811 0.27027027027 
CP_TEl 0.027027027027 0.108108108108 0.324324324324 
CP_TEs 0.0 0.0540540540541 0.27027027027 
CP_TS 0.0 0.162162162162 0.297297297297 
CP_TSC 0.0810810810811 0.297297297297 0.459459459459 
CP_VD 0.027027027027 0.108108108108 0.27027027027 
CP_Z3DC_CB 0.0 0.0 0.0540540540541 
CP_Z3DC_MIN 0.0 0.0810810810811 0.162162162162 
CP_ZLOCAL_CB 0.0 0.0540540540541 0.0810810810811 
CP_ZLOCAL_MIN 0.0 0.027027027027 0.135135135135 
CP_ZPAIR_CB 0.0 0.027027027027 0.0540540540541 
CP_ZPAIR_MIN 0.0 0.0540540540541 0.0540540540541 
CP_ZS3DC_CB 0.027027027027 0.0810810810811 0.216216216216 
CP_ZS3DC_MIN 0.027027027027 0.108108108108 0.216216216216 
DESOLV 0.0540540540541 0.0810810810811 0.162162162162 
ELE 0.027027027027 0.162162162162 0.405405405405 
ODA 0.0 0.0540540540541 0.216216216216 
PROPNSTS 0.0 0.0 0.0810810810811 
PYDOCK_TOT 0.108108108108 0.189189189189 0.297297297297 
SIPPER 0.0 0.027027027027 0.108108108108 
VDW 0.0 0.108108108108 0.324324324324 

