/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_BM5_METHOD_MIX 

pdb.list samples = 176

AP_calRW 0.0454545454545 0.170454545455 0.545454545455 
AP_calRWp 0.0454545454545 0.238636363636 0.539772727273 
AP_DARS 0.0625 0.153409090909 0.306818181818 
AP_DCOMPLEX 0.113636363636 0.227272727273 0.494318181818 
AP_dDFIRE 0.0909090909091 0.221590909091 0.409090909091 
AP_DFIRE2 0.0454545454545 0.142045454545 0.380681818182 
AP_DOPE 0.0397727272727 0.102272727273 0.272727272727 
AP_DOPE_HR 0.0511363636364 0.142045454545 0.363636363636 
AP_GOAP_ALL 0.0227272727273 0.0454545454545 0.164772727273 
AP_GOAP_DF 0.0625 0.147727272727 0.352272727273 
AP_GOAP_G 0.0113636363636 0.0227272727273 0.0965909090909 
AP_MPS 0.0340909090909 0.113636363636 0.255681818182 
AP_PISA 0.107954545455 0.340909090909 0.579545454545 
AP_T1 0.0738636363636 0.3125 0.534090909091 
AP_T2 0.102272727273 0.284090909091 0.528409090909 
AP_URS 0.0454545454545 0.153409090909 0.403409090909 
AP_WENG 0.0227272727273 0.0284090909091 0.119318181818 
CP_BFKV 0.0511363636364 0.159090909091 0.375 
CP_BL 0.0227272727273 0.170454545455 0.380681818182 
CP_BT 0.0454545454545 0.238636363636 0.4375 
CP_DECK 0.142045454545 0.232954545455 0.397727272727 
CP_E3D_CB 0.0511363636364 0.125 0.375 
CP_E3DC_CB 0.00568181818182 0.0568181818182 0.136363636364 
CP_E3DC_MIN 0.0340909090909 0.159090909091 0.375 
CP_E3D_MIN 0.0568181818182 0.176136363636 0.443181818182 
CP_ELOCAL_CB 0.0340909090909 0.125 0.363636363636 
CP_ELOCAL_MIN 0.0681818181818 0.164772727273 0.448863636364 
CP_EPAIR_CB 0.0511363636364 0.0965909090909 0.232954545455 
CP_EPAIR_MIN 0.0454545454545 0.147727272727 0.369318181818 
CP_ES3DC_CB 0.0170454545455 0.0738636363636 0.193181818182 
CP_ES3DC_MIN 0.0284090909091 0.136363636364 0.392045454545 
CP_GKS 0.0113636363636 0.0511363636364 0.3125 
CP_HLPL 0.0852272727273 0.25 0.505681818182 
CP_MJ1 0.0113636363636 0.0738636363636 0.238636363636 
CP_MJ2 0.00568181818182 0.0511363636364 0.306818181818 
CP_MJ2h 0.0681818181818 0.204545454545 0.511363636364 
CP_MJ3h 0.0511363636364 0.181818181818 0.369318181818 
CP_MJPL 0.0738636363636 0.210227272727 0.471590909091 
CP_MS 0.0170454545455 0.102272727273 0.380681818182 
CP_MSBM 0.0397727272727 0.0738636363636 0.267045454545 
CP_Qa 0.0170454545455 0.0738636363636 0.204545454545 
CP_Qm 0.0454545454545 0.107954545455 0.267045454545 
CP_Qp 0.0568181818182 0.215909090909 0.5 
CP_RMFCA 0.0681818181818 0.198863636364 0.448863636364 
CP_RMFCEN1 0.0681818181818 0.227272727273 0.5 
CP_RMFCEN2 0.0795454545455 0.210227272727 0.505681818182 
CP_RO 0.00568181818182 0.0852272727273 0.255681818182 
CP_SJKG 0.0170454545455 0.102272727273 0.255681818182 
CP_SKOa 0.0284090909091 0.125 0.272727272727 
CP_SKOb 0.0340909090909 0.130681818182 0.369318181818 
CP_SKOIP 0.0511363636364 0.147727272727 0.386363636364 
CP_TB 0.0738636363636 0.238636363636 0.488636363636 
CP_TD 0.0568181818182 0.221590909091 0.465909090909 
CP_TEl 0.0965909090909 0.193181818182 0.375 
CP_TEs 0.0227272727273 0.0795454545455 0.323863636364 
CP_TS 0.0568181818182 0.193181818182 0.517045454545 
CP_TSC 0.0909090909091 0.295454545455 0.568181818182 
CP_VD 0.0568181818182 0.136363636364 0.346590909091 
CP_Z3DC_CB 0.00568181818182 0.00568181818182 0.0454545454545 
CP_Z3DC_MIN 0.00568181818182 0.0568181818182 0.210227272727 
CP_ZLOCAL_CB 0.0 0.0113636363636 0.0511363636364 
CP_ZLOCAL_MIN 0.0 0.0170454545455 0.107954545455 
CP_ZPAIR_CB 0.0 0.00568181818182 0.0568181818182 
CP_ZPAIR_MIN 0.0113636363636 0.0340909090909 0.102272727273 
CP_ZS3DC_CB 0.0170454545455 0.0568181818182 0.164772727273 
CP_ZS3DC_MIN 0.0397727272727 0.147727272727 0.369318181818 
DESOLV 0.0454545454545 0.0965909090909 0.193181818182 
ELE 0.0909090909091 0.1875 0.414772727273 
ODA 0.0568181818182 0.159090909091 0.261363636364 
PROPNSTS 0.0 0.0113636363636 0.0511363636364 
PYDOCK_TOT 0.107954545455 0.210227272727 0.369318181818 
SIPPER 0.0 0.0 0.0170454545455 
VDW 0.0340909090909 0.176136363636 0.494318181818 

