/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_BM5_METHOD_MIX 

pdb.list.flexibility.4 samples = 26

AP_calRW 0.0769230769231 0.153846153846 0.5 
AP_calRWp 0.0384615384615 0.153846153846 0.384615384615 
AP_DARS 0.0769230769231 0.192307692308 0.346153846154 
AP_DCOMPLEX 0.0 0.0384615384615 0.230769230769 
AP_dDFIRE 0.0 0.153846153846 0.346153846154 
AP_DFIRE2 0.0 0.0769230769231 0.307692307692 
AP_DOPE 0.0 0.0384615384615 0.153846153846 
AP_DOPE_HR 0.0 0.0 0.153846153846 
AP_GOAP_ALL 0.0 0.0769230769231 0.153846153846 
AP_GOAP_DF 0.0 0.0384615384615 0.192307692308 
AP_GOAP_G 0.0 0.0 0.115384615385 
AP_MPS 0.0384615384615 0.0769230769231 0.307692307692 
AP_PISA 0.115384615385 0.269230769231 0.538461538462 
AP_T1 0.0 0.192307692308 0.384615384615 
AP_T2 0.0384615384615 0.0769230769231 0.5 
AP_URS 0.0 0.115384615385 0.346153846154 
AP_WENG 0.0 0.0 0.115384615385 
CP_BFKV 0.0 0.153846153846 0.346153846154 
CP_BL 0.0 0.115384615385 0.230769230769 
CP_BT 0.0 0.192307692308 0.461538461538 
CP_DECK 0.153846153846 0.192307692308 0.384615384615 
CP_E3D_CB 0.0 0.0769230769231 0.384615384615 
CP_E3DC_CB 0.0 0.0384615384615 0.153846153846 
CP_E3DC_MIN 0.0 0.0769230769231 0.269230769231 
CP_E3D_MIN 0.0 0.0769230769231 0.384615384615 
CP_ELOCAL_CB 0.0 0.0769230769231 0.384615384615 
CP_ELOCAL_MIN 0.0 0.0769230769231 0.423076923077 
CP_EPAIR_CB 0.0384615384615 0.0769230769231 0.153846153846 
CP_EPAIR_MIN 0.0 0.0384615384615 0.192307692308 
CP_ES3DC_CB 0.0384615384615 0.115384615385 0.230769230769 
CP_ES3DC_MIN 0.0 0.0769230769231 0.269230769231 
CP_GKS 0.0 0.0 0.192307692308 
CP_HLPL 0.0769230769231 0.269230769231 0.5 
CP_MJ1 0.0 0.0769230769231 0.115384615385 
CP_MJ2 0.0 0.0384615384615 0.230769230769 
CP_MJ2h 0.0769230769231 0.192307692308 0.538461538462 
CP_MJ3h 0.0384615384615 0.192307692308 0.423076923077 
CP_MJPL 0.0769230769231 0.153846153846 0.423076923077 
CP_MS 0.0 0.0769230769231 0.307692307692 
CP_MSBM 0.0 0.0 0.230769230769 
CP_Qa 0.0384615384615 0.153846153846 0.269230769231 
CP_Qm 0.0769230769231 0.192307692308 0.307692307692 
CP_Qp 0.0384615384615 0.269230769231 0.423076923077 
CP_RMFCA 0.0769230769231 0.115384615385 0.461538461538 
CP_RMFCEN1 0.0384615384615 0.230769230769 0.461538461538 
CP_RMFCEN2 0.0384615384615 0.153846153846 0.5 
CP_RO 0.0 0.0384615384615 0.153846153846 
CP_SJKG 0.0384615384615 0.0769230769231 0.192307692308 
CP_SKOa 0.0384615384615 0.115384615385 0.192307692308 
CP_SKOb 0.0769230769231 0.153846153846 0.346153846154 
CP_SKOIP 0.0384615384615 0.192307692308 0.461538461538 
CP_TB 0.0769230769231 0.230769230769 0.423076923077 
CP_TD 0.0384615384615 0.153846153846 0.5 
CP_TEl 0.153846153846 0.192307692308 0.346153846154 
CP_TEs 0.0384615384615 0.153846153846 0.269230769231 
CP_TS 0.0384615384615 0.192307692308 0.5 
CP_TSC 0.0384615384615 0.230769230769 0.384615384615 
CP_VD 0.0 0.0384615384615 0.230769230769 
CP_Z3DC_CB 0.0384615384615 0.0384615384615 0.0384615384615 
CP_Z3DC_MIN 0.0 0.0 0.153846153846 
CP_ZLOCAL_CB 0.0 0.0 0.0384615384615 
CP_ZLOCAL_MIN 0.0 0.0 0.115384615385 
CP_ZPAIR_CB 0.0 0.0 0.0 
CP_ZPAIR_MIN 0.0 0.0 0.0384615384615 
CP_ZS3DC_CB 0.0384615384615 0.153846153846 0.153846153846 
CP_ZS3DC_MIN 0.0384615384615 0.0769230769231 0.230769230769 
DESOLV 0.0384615384615 0.115384615385 0.192307692308 
ELE 0.115384615385 0.115384615385 0.346153846154 
ODA 0.0 0.153846153846 0.230769230769 
PROPNSTS 0.0 0.0 0.0384615384615 
PYDOCK_TOT 0.0384615384615 0.153846153846 0.269230769231 
SIPPER 0.0 0.0 0.0 
VDW 0.0 0.0 0.192307692308 

