/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_BM5_METHOD_MIX_part2 

pdb.list.BM5 samples = 55
FD_AP_GOAP_DF_CP_TSC_ZD_AP_T2_CP_DECK_SD_CP_HLPL_CP_BFKV 0.0727272727273 0.272727272727 0.563636363636 
FD_CP_TB_AP_GOAP_DF_ZD_AP_PISA_ELE_SD_CP_TS_AP_PISA 0.0909090909091 0.218181818182 0.490909090909 
FD_CP_RMFCA_CP_TSC_ZD_CP_Qp_CP_HLPL_SD_CP_HLPL_CP_BFKV 0.0363636363636 0.2 0.436363636364 
FD_PROPNSTS_CP_TSC_ZD_CP_DECK_CP_TSC_SD_CP_Qp_AP_T1 0.0181818181818 0.109090909091 0.4 
FD_PROPNSTS_CP_RMFCA_ZD_CP_TB_ZDOCK_SD_AP_T2_CP_TB 0.0545454545455 0.0727272727273 0.363636363636 
FD_PROPNSTS_CP_RMFCA_ZD_CP_HLPL_ELE_SD_AP_calRWp_AP_PISA 0.0727272727273 0.272727272727 0.4 
FD_PYDOCK_TOT_CP_TSC_ZD_CP_HLPL_CP_BT_SD_CP_Qp_AP_dDFIRE 0.127272727273 0.327272727273 0.490909090909 
FD_AP_GOAP_DF_CP_TSC_ZD_AP_T2_AP_DCOMPLEX_SD_AP_T2_AP_T1 0.0181818181818 0.2 0.490909090909 
FD_PROPNSTS_CP_RMFCA_ZD_CP_DECK_AP_DCOMPLEX_SD_AP_MPS_CP_TS 0.0363636363636 0.145454545455 0.381818181818 
FD_CP_TB_AP_GOAP_DF_ZD_CP_DECK_ELE_SD_AP_T2_SDOCK 0.127272727273 0.236363636364 0.454545454545 
FD_CP_RMFCA_AP_GOAP_DF_ZD_PYDOCK_TOT_CP_TSC_SD_AP_PISA_CP_TB 0.0 0.163636363636 0.418181818182 
FD_CP_BFKV_AP_GOAP_DF_ZD_CP_HLPL_CP_TB_SD_SDOCK_CP_TS 0.109090909091 0.290909090909 0.490909090909 
FD_PROPNSTS_CP_BFKV_ZD_CP_DECK_AP_T1_SD_SDOCK_AP_T1 0.0909090909091 0.218181818182 0.454545454545 
FD_CP_TB_CP_TSC_ZD_AP_PISA_CP_DECK_SD_CP_HLPL_AP_PISA 0.0363636363636 0.181818181818 0.527272727273 
FD_PROPNSTS_CP_RMFCA_ZD_CP_DECK_ZDOCK_SD_CP_Qp_CP_TSC 0.0181818181818 0.145454545455 0.345454545455 
FD_CP_RMFCA_CP_BFKV_ZD_CP_Qp_CP_TSC_SD_AP_MPS_AP_T2 0.0727272727273 0.2 0.436363636364 
