combination top1 top10 top100
FD_PYDOCK_TOT_CP_TSC_ZD_ELE_CP_TSC_SD_AP_dDFIRE_CP_HLPL 0.145454545455 0.4 0.581818181818 
FD_CP_TB_CP_BFKV_ZD_CP_HLPL_ELE_SD_AP_calRWp_SDOCK 0.127272727273 0.381818181818 0.563636363636 
FD_PYDOCK_TOT_CP_TSC_ZD_CP_BT_ELE_SD_AP_calRWp_SDOCK 0.145454545455 0.363636363636 0.563636363636 
FD_PROPNSTS_CP_BFKV_ZD_CP_HLPL_PYDOCK_TOT_SD_AP_dDFIRE_CP_HLPL 0.0909090909091 0.363636363636 0.490909090909 
FD_CP_TB_CP_BFKV_ZD_CP_Qp_ELE_SD_SDOCK_CP_TSC 0.109090909091 0.363636363636 0.545454545455 
FD_CP_TB_CP_BFKV_ZD_CP_Qp_ELE_SD_SDOCK_CP_TS 0.145454545455 0.363636363636 0.563636363636 
FD_CP_TB_CP_BFKV_ZD_CP_Qp_ELE_SD_CP_Qp_AP_dDFIRE 0.109090909091 0.363636363636 0.545454545455 
FD_CP_TB_CP_BFKV_ZD_CP_Qp_ELE_SD_AP_dDFIRE_CP_HLPL 0.127272727273 0.363636363636 0.545454545455 
FD_CP_TB_AP_GOAP_DF_ZD_CP_BT_ELE_SD_AP_MPS_CP_TS 0.109090909091 0.363636363636 0.527272727273 
FD_CP_BFKV_CP_TSC_ZD_CP_Qp_ELE_SD_SDOCK_AP_PISA 0.109090909091 0.363636363636 0.509090909091 
FD_CP_BFKV_CP_TSC_ZD_CP_BT_ELE_SD_AP_dDFIRE_CP_TB 0.0727272727273 0.363636363636 0.509090909091 
FD_CP_BFKV_CP_TSC_ZD_CP_BT_CP_TSC_SD_AP_dDFIRE_CP_TB 0.0909090909091 0.363636363636 0.490909090909 
FD_PYDOCK_TOT_CP_TSC_ZD_PYDOCK_TOT_AP_DCOMPLEX_SD_AP_MPS_SDOCK 0.127272727273 0.345454545455 0.581818181818 
FD_PYDOCK_TOT_CP_TSC_ZD_CP_TB_ELE_SD_SDOCK_AP_PISA 0.163636363636 0.345454545455 0.581818181818 
FD_PYDOCK_TOT_CP_TSC_ZD_AP_T2_ELE_SD_CP_Qp_AP_dDFIRE 0.127272727273 0.345454545455 0.581818181818 
FD_PYDOCK_TOT_CP_TSC_ZD_AP_T2_AP_DCOMPLEX_SD_AP_MPS_SDOCK 0.127272727273 0.345454545455 0.563636363636 
FD_PROPNSTS_CP_RMFCA_ZD_CP_Qp_ELE_SD_AP_calRWp_SDOCK 0.0909090909091 0.345454545455 0.454545454545 
FD_PROPNSTS_CP_BFKV_ZD_CP_BT_ELE_SD_CP_Qp_AP_dDFIRE 0.127272727273 0.345454545455 0.509090909091 
FD_PROPNSTS_CP_BFKV_ZD_CP_BT_ELE_SD_CP_HLPL_CP_TB 0.127272727273 0.345454545455 0.527272727273 
FD_CP_TB_CP_TSC_ZD_CP_TB_ELE_SD_AP_dDFIRE_CP_HLPL 0.0545454545455 0.345454545455 0.527272727273 
FD_CP_TB_CP_TSC_ZD_CP_BT_CP_TSC_SD_SDOCK_AP_PISA 0.127272727273 0.345454545455 0.490909090909 
FD_CP_TB_CP_BFKV_ZD_PYDOCK_TOT_CP_TSC_SD_SDOCK_AP_PISA 0.163636363636 0.345454545455 0.545454545455 
FD_CP_TB_CP_BFKV_ZD_ELE_CP_TSC_SD_CP_Qp_CP_TS 0.0727272727273 0.345454545455 0.545454545455 
FD_CP_RMFCA_CP_TB_ZD_CP_Qp_ELE_SD_AP_dDFIRE_CP_TSC 0.0545454545455 0.345454545455 0.472727272727 
FD_CP_BFKV_CP_TSC_ZD_CP_Qp_AP_T2_SD_SDOCK_AP_PISA 0.0909090909091 0.345454545455 0.527272727273 
FD_CP_BFKV_CP_TSC_ZD_CP_HLPL_ZDOCK_SD_SDOCK_AP_PISA 0.0909090909091 0.345454545455 0.527272727273 
FD_CP_BFKV_CP_TSC_ZD_CP_BT_CP_TB_SD_AP_dDFIRE_CP_TB 0.0727272727273 0.345454545455 0.509090909091 
FD_CP_BFKV_CP_TSC_ZD_AP_PISA_CP_TSC_SD_AP_dDFIRE_CP_HLPL 0.0727272727273 0.345454545455 0.545454545455 
FD_CP_BFKV_AP_GOAP_DF_ZD_AP_T2_ELE_SD_AP_dDFIRE_CP_TSC 0.0727272727273 0.345454545455 0.545454545455 
FD_PYDOCK_TOT_CP_TSC_ZD_PYDOCK_TOT_ELE_SD_SDOCK_CP_TS 0.145454545455 0.327272727273 0.545454545455 

