"","func1","func2","func3","corr_x","corr_y","corr_z","cases"
"3343","combo_PYDOCK_TOT_AP_T1","combo_PYDOCK_TOT_AP_T2","combo_PYDOCK_TOT_AP_PISA",13,0,14,26
"3375","combo_PYDOCK_TOT_AP_T1","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA",13,2,14,26
"3585","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_T2","combo_PYDOCK_TOT_AP_T2",14,0,0,26
"3586","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_T2","combo_CP_E3D_MIN_CP_TB",14,0,1,26
"3587","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_T2","combo_CP_BFKV_AP_dDFIRE",14,0,2,26
"3588","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_T2","combo_CP_SKOa_AP_dDFIRE",14,0,3,26
"3589","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_T2","combo_CP_BFKV_PYDOCK_TOT",14,0,4,26
"3590","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_T2","combo_CP_BFKV_CP_TB",14,0,5,26
"3591","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_T2","combo_CP_E3D_MIN_AP_MPS",14,0,6,26
"3592","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_T2","combo_AP_MPS_CP_RMFCEN1",14,0,7,26
"3593","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_T2","combo_CP_SKOa_PYDOCK_TOT",14,0,8,26
"3594","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_T2","combo_PYDOCK_TOT_AP_MPS",14,0,9,26
"3595","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_T2","combo_PYDOCK_TOT_AP_DCOMPLEX",14,0,10,26
"3596","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_T2","combo_SDOCK_AP_MPS",14,0,11,26
"3597","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_T2","combo_CP_SJKG_PYDOCK_TOT",14,0,12,26
"3598","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_T2","combo_PYDOCK_TOT_AP_T1",14,0,13,26
"3599","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_T2","combo_PYDOCK_TOT_AP_PISA",14,0,14,26
"3617","combo_PYDOCK_TOT_AP_PISA","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2",14,2,0,26
"3618","combo_PYDOCK_TOT_AP_PISA","combo_CP_BFKV_AP_dDFIRE","combo_CP_E3D_MIN_CP_TB",14,2,1,26
"3619","combo_PYDOCK_TOT_AP_PISA","combo_CP_BFKV_AP_dDFIRE","combo_CP_BFKV_AP_dDFIRE",14,2,2,26
"3620","combo_PYDOCK_TOT_AP_PISA","combo_CP_BFKV_AP_dDFIRE","combo_CP_SKOa_AP_dDFIRE",14,2,3,26
"3621","combo_PYDOCK_TOT_AP_PISA","combo_CP_BFKV_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT",14,2,4,26
"3622","combo_PYDOCK_TOT_AP_PISA","combo_CP_BFKV_AP_dDFIRE","combo_CP_BFKV_CP_TB",14,2,5,26
"3623","combo_PYDOCK_TOT_AP_PISA","combo_CP_BFKV_AP_dDFIRE","combo_CP_E3D_MIN_AP_MPS",14,2,6,26
"3624","combo_PYDOCK_TOT_AP_PISA","combo_CP_BFKV_AP_dDFIRE","combo_AP_MPS_CP_RMFCEN1",14,2,7,26
"3625","combo_PYDOCK_TOT_AP_PISA","combo_CP_BFKV_AP_dDFIRE","combo_CP_SKOa_PYDOCK_TOT",14,2,8,26
"3626","combo_PYDOCK_TOT_AP_PISA","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_MPS",14,2,9,26
"3627","combo_PYDOCK_TOT_AP_PISA","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_DCOMPLEX",14,2,10,26
"3628","combo_PYDOCK_TOT_AP_PISA","combo_CP_BFKV_AP_dDFIRE","combo_SDOCK_AP_MPS",14,2,11,26
"3629","combo_PYDOCK_TOT_AP_PISA","combo_CP_BFKV_AP_dDFIRE","combo_CP_SJKG_PYDOCK_TOT",14,2,12,26
"3630","combo_PYDOCK_TOT_AP_PISA","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1",14,2,13,26
"3631","combo_PYDOCK_TOT_AP_PISA","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA",14,2,14,26
