"","ftdock","zdock","sdock","coor_x","coor_y","coor_z","cases"
"91","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_CP_BFKV_PYDOCK_TOT","combo_CP_E3D_MIN_CP_TB",3,3,0,21
"92","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_CP_BFKV_PYDOCK_TOT","combo_CP_E3D_MIN_AP_MPS",3,3,1,21
"93","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_CP_BFKV_PYDOCK_TOT","combo_AP_MPS_CP_RMFCEN1",3,3,2,21
"94","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_CP_BFKV_PYDOCK_TOT","combo_SDOCK_AP_MPS",3,3,3,21
"96","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_CP_BFKV_CP_TB","combo_CP_E3D_MIN_CP_TB",3,4,0,21
"97","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_CP_BFKV_CP_TB","combo_CP_E3D_MIN_AP_MPS",3,4,1,21
"98","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_CP_BFKV_CP_TB","combo_AP_MPS_CP_RMFCEN1",3,4,2,21
"99","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_CP_BFKV_CP_TB","combo_SDOCK_AP_MPS",3,4,3,21
"100","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_CP_BFKV_CP_TB","combo_PYDOCK_TOT_AP_MPS",3,4,4,21
"121","combo_CP_SKOa_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_CP_E3D_MIN_CP_TB",4,4,0,21
"122","combo_CP_SKOa_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_CP_E3D_MIN_AP_MPS",4,4,1,21
"123","combo_CP_SKOa_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_AP_MPS_CP_RMFCEN1",4,4,2,21
"124","combo_CP_SKOa_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_SDOCK_AP_MPS",4,4,3,21
"125","combo_CP_SKOa_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_PYDOCK_TOT_AP_MPS",4,4,4,21
"2","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_CP_E3D_MIN_AP_MPS",0,0,1,22
"5","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_PYDOCK_TOT_AP_MPS",0,0,4,22
"20","combo_CP_SJKG_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_PYDOCK_TOT_AP_MPS",0,3,4,22
"21","combo_CP_SJKG_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_CP_E3D_MIN_CP_TB",0,4,0,22
"22","combo_CP_SJKG_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_CP_E3D_MIN_AP_MPS",0,4,1,22
"26","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_CP_E3D_MIN_CP_TB",1,0,0,22
"27","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_CP_E3D_MIN_AP_MPS",1,0,1,22
"30","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_PYDOCK_TOT_AP_MPS",1,0,4,22
"45","combo_CP_BFKV_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_PYDOCK_TOT_AP_MPS",1,3,4,22
"46","combo_CP_BFKV_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_CP_E3D_MIN_CP_TB",1,4,0,22
"47","combo_CP_BFKV_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_CP_E3D_MIN_AP_MPS",1,4,1,22
"55","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_T1","combo_PYDOCK_TOT_AP_MPS",2,0,4,22
"70","combo_CP_SKOa_PYDOCK_TOT","combo_CP_BFKV_PYDOCK_TOT","combo_PYDOCK_TOT_AP_MPS",2,3,4,22
"80","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_PYDOCK_TOT_AP_T1","combo_PYDOCK_TOT_AP_MPS",3,0,4,22
"95","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_CP_BFKV_PYDOCK_TOT","combo_PYDOCK_TOT_AP_MPS",3,3,4,22
"101","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_CP_E3D_MIN_CP_TB",4,0,0,22
"102","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_CP_E3D_MIN_AP_MPS",4,0,1,22
"103","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_AP_MPS_CP_RMFCEN1",4,0,2,22
"104","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_SDOCK_AP_MPS",4,0,3,22
"105","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_PYDOCK_TOT_AP_MPS",4,0,4,22
"116","combo_CP_SKOa_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_CP_E3D_MIN_CP_TB",4,3,0,22
"117","combo_CP_SKOa_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_CP_E3D_MIN_AP_MPS",4,3,1,22
"118","combo_CP_SKOa_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_AP_MPS_CP_RMFCEN1",4,3,2,22
"119","combo_CP_SKOa_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_SDOCK_AP_MPS",4,3,3,22
"120","combo_CP_SKOa_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_PYDOCK_TOT_AP_MPS",4,3,4,22
"1","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_CP_E3D_MIN_CP_TB",0,0,0,23
"3","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_AP_MPS_CP_RMFCEN1",0,0,2,23
"7","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_CP_E3D_MIN_AP_MPS",0,1,1,23
"11","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_CP_E3D_MIN_CP_TB",0,2,0,23
"12","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_CP_E3D_MIN_AP_MPS",0,2,1,23
"15","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_MPS",0,2,4,23
"16","combo_CP_SJKG_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_CP_E3D_MIN_CP_TB",0,3,0,23
"28","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_AP_MPS_CP_RMFCEN1",1,0,2,23
"31","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_CP_E3D_MIN_CP_TB",1,1,0,23
"32","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_CP_E3D_MIN_AP_MPS",1,1,1,23
"36","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_CP_E3D_MIN_CP_TB",1,2,0,23
"37","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_CP_E3D_MIN_AP_MPS",1,2,1,23
"40","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_MPS",1,2,4,23
