pydock 

pdb.list.flexibility.1 samples = 24

combo_AP_dDFIRE_AP_DCOMPLEX 0.0833333333333 0.25 0.541666666667 
combo_CP_BFKV_AP_DCOMPLEX 0.0833333333333 0.25 0.541666666667 
combo_CP_BFKV_AP_dDFIRE 0.125 0.208333333333 0.5 
combo_CP_SJKG_AP_DCOMPLEX 0.0 0.208333333333 0.666666666667 
combo_CP_SJKG_AP_dDFIRE 0.0833333333333 0.291666666667 0.541666666667 
combo_CP_SJKG_CP_BFKV 0.0 0.0833333333333 0.333333333333 
combo_CP_SJKG_pydock 0.0416666666667 0.166666666667 0.583333333333 
combo_CP_SKOa_AP_DCOMPLEX 0.0416666666667 0.25 0.541666666667 
combo_CP_SKOa_AP_dDFIRE 0.0416666666667 0.333333333333 0.541666666667 
combo_CP_SKOa_CP_BFKV 0.0 0.0833333333333 0.25 
combo_CP_SKOa_CP_SJKG 0.0 0.0833333333333 0.25 
combo_CP_SKOa_pydock 0.0833333333333 0.166666666667 0.583333333333 
combo_pydock_AP_DCOMPLEX 0.125 0.291666666667 0.708333333333 
combo_pydock_AP_dDFIRE 0.166666666667 0.333333333333 0.666666666667 
combo_pydock_CP_BFKV 0.0833333333333 0.333333333333 0.583333333333 

