pydock 

pdb.list samples = 176

combo_AP_dDFIRE_AP_DCOMPLEX 0.0625 0.159090909091 0.335227272727 
combo_CP_BFKV_AP_DCOMPLEX 0.0397727272727 0.181818181818 0.409090909091 
combo_CP_BFKV_AP_dDFIRE 0.0738636363636 0.181818181818 0.431818181818 
combo_CP_SJKG_AP_DCOMPLEX 0.0397727272727 0.164772727273 0.426136363636 
combo_CP_SJKG_AP_dDFIRE 0.0568181818182 0.215909090909 0.420454545455 
combo_CP_SJKG_CP_BFKV 0.0113636363636 0.0965909090909 0.346590909091 
combo_CP_SJKG_pydock 0.0284090909091 0.147727272727 0.426136363636 
combo_CP_SKOa_AP_DCOMPLEX 0.0397727272727 0.159090909091 0.397727272727 
combo_CP_SKOa_AP_dDFIRE 0.0568181818182 0.210227272727 0.420454545455 
combo_CP_SKOa_CP_BFKV 0.0113636363636 0.113636363636 0.318181818182 
combo_CP_SKOa_CP_SJKG 0.0170454545455 0.0681818181818 0.295454545455 
combo_CP_SKOa_pydock 0.0397727272727 0.147727272727 0.420454545455 
combo_pydock_AP_DCOMPLEX 0.0681818181818 0.210227272727 0.431818181818 
combo_pydock_AP_dDFIRE 0.0965909090909 0.193181818182 0.460227272727 
combo_pydock_CP_BFKV 0.0681818181818 0.198863636364 0.454545454545 

