pydock 

pdb.list.flexibility.3 samples = 59

combo_AP_dDFIRE_AP_DCOMPLEX 0.0847457627119 0.101694915254 0.322033898305 
combo_CP_BFKV_AP_DCOMPLEX 0.0508474576271 0.186440677966 0.423728813559 
combo_CP_BFKV_AP_dDFIRE 0.0847457627119 0.169491525424 0.457627118644 
combo_CP_SJKG_AP_DCOMPLEX 0.0508474576271 0.152542372881 0.406779661017 
combo_CP_SJKG_AP_dDFIRE 0.0508474576271 0.186440677966 0.423728813559 
combo_CP_SJKG_CP_BFKV 0.0169491525424 0.101694915254 0.389830508475 
combo_CP_SJKG_pydock 0.0338983050847 0.169491525424 0.457627118644 
combo_CP_SKOa_AP_DCOMPLEX 0.0508474576271 0.152542372881 0.440677966102 
combo_CP_SKOa_AP_dDFIRE 0.0508474576271 0.186440677966 0.457627118644 
combo_CP_SKOa_CP_BFKV 0.0169491525424 0.135593220339 0.406779661017 
combo_CP_SKOa_CP_SJKG 0.0169491525424 0.0847457627119 0.338983050847 
combo_CP_SKOa_pydock 0.0338983050847 0.169491525424 0.440677966102 
combo_pydock_AP_DCOMPLEX 0.0677966101695 0.203389830508 0.440677966102 
combo_pydock_AP_dDFIRE 0.0847457627119 0.169491525424 0.491525423729 
combo_pydock_CP_BFKV 0.0847457627119 0.186440677966 0.508474576271 

