/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_byRMSD_Zdock/

pdb.list.flexibility.5 samples = 11

combo_AP_calRWp_AP_PISA 0.0 0.0 0.181818181818 
combo_AP_calRWp_AP_T1 0.0 0.0 0.0909090909091 
combo_AP_calRWp_AP_T2 0.0 0.0 0.181818181818 
combo_AP_calRWp_CP_TB 0.0 0.0909090909091 0.0909090909091 
combo_AP_calRWp_zdock3 0.0 0.0 0.0909090909091 
combo_AP_PISA_AP_T1 0.0 0.0 0.0 
combo_AP_PISA_AP_T2 0.0 0.0 0.181818181818 
combo_AP_PISA_CP_TB 0.0 0.0 0.0909090909091 
combo_AP_T1_CP_TB 0.0 0.0 0.181818181818 
combo_AP_T2_AP_T1 0.0 0.0 0.181818181818 
combo_AP_T2_CP_TB 0.0909090909091 0.0909090909091 0.181818181818 
combo_CP_BFKV_AP_calRWp 0.0 0.0909090909091 0.181818181818 
combo_CP_BFKV_AP_PISA 0.0 0.0 0.181818181818 
combo_CP_BFKV_AP_T1 0.0 0.0909090909091 0.181818181818 
combo_CP_BFKV_AP_T2 0.0 0.0909090909091 0.181818181818 
combo_CP_BFKV_CP_TB 0.0 0.0 0.181818181818 
combo_CP_BFKV_PYDOCK_TOT 0.0 0.0909090909091 0.181818181818 
combo_CP_BFKV_zdock3 0.0 0.0909090909091 0.0909090909091 
combo_PYDOCK_TOT_AP_calRWp 0.0 0.0 0.272727272727 
combo_PYDOCK_TOT_AP_PISA 0.0 0.0 0.0909090909091 
combo_PYDOCK_TOT_AP_T1 0.0 0.0 0.181818181818 
combo_PYDOCK_TOT_AP_T2 0.0 0.0909090909091 0.0909090909091 
combo_PYDOCK_TOT_CP_TB 0.0 0.0 0.181818181818 
combo_PYDOCK_TOT_zdock3 0.0 0.0 0.0909090909091 
combo_zdock3_AP_PISA 0.0 0.0 0.0 
combo_zdock3_AP_T1 0.0 0.0 0.0909090909091 
combo_zdock3_AP_T2 0.0 0.0 0.272727272727 
combo_zdock3_CP_TB 0.0 0.0909090909091 0.181818181818 

