/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_byRMSD_Zdock/

pdb.list.flexibility.1 samples = 24

combo_AP_calRWp_AP_PISA 0.166666666667 0.375 0.625 
combo_AP_calRWp_AP_T1 0.0833333333333 0.416666666667 0.75 
combo_AP_calRWp_AP_T2 0.125 0.333333333333 0.625 
combo_AP_calRWp_CP_TB 0.166666666667 0.291666666667 0.666666666667 
combo_AP_calRWp_zdock3 0.0 0.0416666666667 0.625 
combo_AP_PISA_AP_T1 0.333333333333 0.5 0.708333333333 
combo_AP_PISA_AP_T2 0.25 0.416666666667 0.666666666667 
combo_AP_PISA_CP_TB 0.125 0.291666666667 0.625 
combo_AP_T1_CP_TB 0.208333333333 0.5 0.666666666667 
combo_AP_T2_AP_T1 0.208333333333 0.416666666667 0.708333333333 
combo_AP_T2_CP_TB 0.25 0.458333333333 0.666666666667 
combo_CP_BFKV_AP_calRWp 0.0833333333333 0.25 0.5 
combo_CP_BFKV_AP_PISA 0.208333333333 0.291666666667 0.541666666667 
combo_CP_BFKV_AP_T1 0.0 0.333333333333 0.5 
combo_CP_BFKV_AP_T2 0.0416666666667 0.291666666667 0.416666666667 
combo_CP_BFKV_CP_TB 0.0833333333333 0.291666666667 0.541666666667 
combo_CP_BFKV_PYDOCK_TOT 0.125 0.25 0.5 
combo_CP_BFKV_zdock3 0.0416666666667 0.0833333333333 0.375 
combo_PYDOCK_TOT_AP_calRWp 0.125 0.375 0.666666666667 
combo_PYDOCK_TOT_AP_PISA 0.25 0.5 0.625 
combo_PYDOCK_TOT_AP_T1 0.208333333333 0.541666666667 0.708333333333 
combo_PYDOCK_TOT_AP_T2 0.291666666667 0.458333333333 0.708333333333 
combo_PYDOCK_TOT_CP_TB 0.166666666667 0.333333333333 0.583333333333 
combo_PYDOCK_TOT_zdock3 0.0416666666667 0.333333333333 0.666666666667 
combo_zdock3_AP_PISA 0.166666666667 0.416666666667 0.666666666667 
combo_zdock3_AP_T1 0.0833333333333 0.208333333333 0.708333333333 
combo_zdock3_AP_T2 0.0416666666667 0.25 0.583333333333 
combo_zdock3_CP_TB 0.0416666666667 0.25 0.708333333333 

