pdb.list.flexibility.1 samples = 24

combo_AP_GOAP_DF_AP_MPS 0.125 0.291666666667 0.5 
combo_AP_GOAP_DF_CP_BFKV 0.25 0.375 0.583333333333 
combo_AP_GOAP_DF_CP_E3D_MIN 0.166666666667 0.375 0.625 
combo_AP_GOAP_DF_CP_RMFCEN1 0.125 0.291666666667 0.625 
combo_AP_GOAP_DF_CP_TB 0.125 0.458333333333 0.666666666667 
combo_AP_MPS_CP_BFKV 0.0833333333333 0.25 0.416666666667 
combo_AP_MPS_CP_RMFCEN1 0.125 0.25 0.625 
combo_AP_MPS_CP_TB 0.208333333333 0.375 0.541666666667 
combo_CP_E3D_MIN_AP_MPS 0.0833333333333 0.291666666667 0.625 
combo_CP_E3D_MIN_CP_BFKV 0.166666666667 0.333333333333 0.666666666667 
combo_CP_E3D_MIN_CP_RMFCEN1 0.125 0.375 0.625 
combo_CP_E3D_MIN_CP_TB 0.25 0.333333333333 0.708333333333 
combo_CP_RMFCEN1_CP_BFKV 0.208333333333 0.375 0.583333333333 
combo_CP_TB_CP_BFKV 0.208333333333 0.333333333333 0.5 
combo_CP_TB_CP_RMFCEN1 0.166666666667 0.625 0.666666666667 
combo_PYDOCK_TOT_AP_GOAP_DF 0.291666666667 0.458333333333 0.625 
combo_PYDOCK_TOT_AP_MPS 0.208333333333 0.416666666667 0.416666666667 
combo_PYDOCK_TOT_CP_BFKV 0.125 0.333333333333 0.541666666667 
combo_PYDOCK_TOT_CP_E3D_MIN 0.25 0.458333333333 0.666666666667 
combo_PYDOCK_TOT_CP_RMFCEN1 0.375 0.375 0.708333333333 
combo_PYDOCK_TOT_CP_TB 0.25 0.5 0.625 
combo_PYDOCK_TOT_SDOCK 0.333333333333 0.458333333333 0.583333333333 
combo_SDOCK_AP_GOAP_DF 0.291666666667 0.416666666667 0.583333333333 
combo_SDOCK_AP_MPS 0.375 0.458333333333 0.541666666667 
combo_SDOCK_CP_BFKV 0.25 0.375 0.541666666667 
combo_SDOCK_CP_E3D_MIN 0.208333333333 0.458333333333 0.625 
combo_SDOCK_CP_RMFCEN1 0.208333333333 0.375 0.625 
combo_SDOCK_CP_TB 0.291666666667 0.458333333333 0.625 

