pdb.list.flexibility.5 samples = 11

combo_AP_GOAP_DF_AP_MPS 0.0 0.0 0.0909090909091 
combo_AP_GOAP_DF_CP_BFKV 0.0 0.0909090909091 0.181818181818 
combo_AP_GOAP_DF_CP_E3D_MIN 0.0 0.0 0.0 
combo_AP_GOAP_DF_CP_RMFCEN1 0.0 0.0 0.0909090909091 
combo_AP_GOAP_DF_CP_TB 0.0 0.0 0.181818181818 
combo_AP_MPS_CP_BFKV 0.0 0.0 0.272727272727 
combo_AP_MPS_CP_RMFCEN1 0.0 0.0 0.181818181818 
combo_AP_MPS_CP_TB 0.0 0.0 0.272727272727 
combo_CP_E3D_MIN_AP_MPS 0.0 0.0 0.0909090909091 
combo_CP_E3D_MIN_CP_BFKV 0.0 0.0909090909091 0.181818181818 
combo_CP_E3D_MIN_CP_RMFCEN1 0.0 0.0 0.0909090909091 
combo_CP_E3D_MIN_CP_TB 0.0 0.0 0.181818181818 
combo_CP_RMFCEN1_CP_BFKV 0.0 0.0909090909091 0.181818181818 
combo_CP_TB_CP_BFKV 0.0 0.0909090909091 0.181818181818 
combo_CP_TB_CP_RMFCEN1 0.0 0.0 0.181818181818 
combo_PYDOCK_TOT_AP_GOAP_DF 0.0 0.0 0.0909090909091 
combo_PYDOCK_TOT_AP_MPS 0.0 0.0 0.0 
combo_PYDOCK_TOT_CP_BFKV 0.0 0.0 0.181818181818 
combo_PYDOCK_TOT_CP_E3D_MIN 0.0 0.0 0.0909090909091 
combo_PYDOCK_TOT_CP_RMFCEN1 0.0 0.0 0.0909090909091 
combo_PYDOCK_TOT_CP_TB 0.0 0.0909090909091 0.0909090909091 
combo_PYDOCK_TOT_SDOCK 0.0 0.0 0.181818181818 
combo_SDOCK_AP_GOAP_DF 0.0 0.0 0.0909090909091 
combo_SDOCK_AP_MPS 0.0 0.0 0.181818181818 
combo_SDOCK_CP_BFKV 0.0 0.0909090909091 0.181818181818 
combo_SDOCK_CP_E3D_MIN 0.0 0.0 0.0909090909091 
combo_SDOCK_CP_RMFCEN1 0.0 0.0909090909091 0.0909090909091 
combo_SDOCK_CP_TB 0.0 0.0 0.181818181818 

