/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_byRMSD_Zdock/

pdb.list samples = 176

combo_AP_calRWp_AP_PISA 0.107954545455 0.335227272727 0.573863636364 
combo_AP_calRWp_AP_T1 0.0852272727273 0.272727272727 0.545454545455 
combo_AP_calRWp_AP_T2 0.0625 0.244318181818 0.551136363636 
combo_AP_calRWp_CP_TB 0.0795454545455 0.227272727273 0.494318181818 
combo_AP_calRWp_zdock3 0.00568181818182 0.0909090909091 0.477272727273 
combo_AP_PISA_AP_T1 0.136363636364 0.323863636364 0.556818181818 
combo_AP_PISA_AP_T2 0.159090909091 0.318181818182 0.5625 
combo_AP_PISA_CP_TB 0.147727272727 0.289772727273 0.505681818182 
combo_AP_T1_CP_TB 0.0795454545455 0.244318181818 0.522727272727 
combo_AP_T2_AP_T1 0.0795454545455 0.272727272727 0.551136363636 
combo_AP_T2_CP_TB 0.0965909090909 0.25 0.505681818182 
combo_CP_BFKV_AP_calRWp 0.0625 0.193181818182 0.443181818182 
combo_CP_BFKV_AP_PISA 0.113636363636 0.284090909091 0.471590909091 
combo_CP_BFKV_AP_T1 0.0454545454545 0.164772727273 0.4375 
combo_CP_BFKV_AP_T2 0.0795454545455 0.170454545455 0.409090909091 
combo_CP_BFKV_CP_TB 0.0625 0.221590909091 0.4375 
combo_CP_BFKV_PYDOCK_TOT 0.0738636363636 0.181818181818 0.403409090909 
combo_CP_BFKV_zdock3 0.0284090909091 0.130681818182 0.363636363636 
combo_PYDOCK_TOT_AP_calRWp 0.0965909090909 0.25 0.517045454545 
combo_PYDOCK_TOT_AP_PISA 0.119318181818 0.346590909091 0.534090909091 
combo_PYDOCK_TOT_AP_T1 0.0965909090909 0.295454545455 0.517045454545 
combo_PYDOCK_TOT_AP_T2 0.107954545455 0.255681818182 0.517045454545 
combo_PYDOCK_TOT_CP_TB 0.113636363636 0.238636363636 0.4375 
combo_PYDOCK_TOT_zdock3 0.0625 0.210227272727 0.471590909091 
combo_zdock3_AP_PISA 0.0795454545455 0.301136363636 0.5625 
combo_zdock3_AP_T1 0.0227272727273 0.164772727273 0.522727272727 
combo_zdock3_AP_T2 0.0284090909091 0.153409090909 0.5 
combo_zdock3_CP_TB 0.0340909090909 0.193181818182 0.5 

