/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_byRMSD_Zdock/

pdb.list.flexibility.3 samples = 59

combo_AP_calRWp_AP_PISA 0.118644067797 0.423728813559 0.694915254237 
combo_AP_calRWp_AP_T1 0.0677966101695 0.305084745763 0.627118644068 
combo_AP_calRWp_AP_T2 0.0677966101695 0.271186440678 0.627118644068 
combo_AP_calRWp_CP_TB 0.0508474576271 0.254237288136 0.474576271186 
combo_AP_calRWp_zdock3 0.0169491525424 0.135593220339 0.525423728814 
combo_AP_PISA_AP_T1 0.0847457627119 0.35593220339 0.64406779661 
combo_AP_PISA_AP_T2 0.152542372881 0.35593220339 0.64406779661 
combo_AP_PISA_CP_TB 0.135593220339 0.305084745763 0.525423728814 
combo_AP_T1_CP_TB 0.0169491525424 0.186440677966 0.491525423729 
combo_AP_T2_AP_T1 0.0338983050847 0.305084745763 0.576271186441 
combo_AP_T2_CP_TB 0.0677966101695 0.203389830508 0.474576271186 
combo_CP_BFKV_AP_calRWp 0.118644067797 0.186440677966 0.457627118644 
combo_CP_BFKV_AP_PISA 0.118644067797 0.305084745763 0.508474576271 
combo_CP_BFKV_AP_T1 0.101694915254 0.186440677966 0.406779661017 
combo_CP_BFKV_AP_T2 0.118644067797 0.237288135593 0.406779661017 
combo_CP_BFKV_CP_TB 0.0847457627119 0.254237288136 0.389830508475 
combo_CP_BFKV_PYDOCK_TOT 0.101694915254 0.186440677966 0.389830508475 
combo_CP_BFKV_zdock3 0.0508474576271 0.152542372881 0.389830508475 
combo_PYDOCK_TOT_AP_calRWp 0.0677966101695 0.220338983051 0.508474576271 
combo_PYDOCK_TOT_AP_PISA 0.118644067797 0.305084745763 0.542372881356 
combo_PYDOCK_TOT_AP_T1 0.0508474576271 0.271186440678 0.508474576271 
combo_PYDOCK_TOT_AP_T2 0.0508474576271 0.203389830508 0.525423728814 
combo_PYDOCK_TOT_CP_TB 0.0847457627119 0.186440677966 0.389830508475 
combo_PYDOCK_TOT_zdock3 0.0508474576271 0.186440677966 0.440677966102 
combo_zdock3_AP_PISA 0.0847457627119 0.28813559322 0.661016949153 
combo_zdock3_AP_T1 0.0338983050847 0.186440677966 0.576271186441 
combo_zdock3_AP_T2 0.0338983050847 0.169491525424 0.542372881356 
combo_zdock3_CP_TB 0.0169491525424 0.118644067797 0.423728813559 

